,Monat,Median,Mean
0,1994-01-01,3.6870967741935488,2.671889400921659
1,1994-02-01,-0.4714285714285715,-0.3046703296703298
2,1994-03-01,6.351612903225806,5.985856079404466
3,1994-04-01,8.863333333333333,7.455952380952381
4,1994-05-01,13.209677419354838,11.813399503722083
5,1994-06-01,16.29,15.24102564102564
6,1994-07-01,22.57903225806452,20.650537634408604
7,1994-08-01,18.200000000000003,17.33279569892473
8,1994-09-01,13.853333333333332,12.814166666666667
9,1994-10-01,8.153225806451612,7.517473118279569
10,1994-11-01,7.786666666666667,6.864444444444445
11,1994-12-01,4.262903225806452,3.4438172043010753
12,1995-01-01,1.0258064516129033,-0.08279569892473138
13,1995-02-01,5.296428571428571,4.2907738095238095
14,1995-03-01,3.896774193548387,2.618279569892473
15,1995-04-01,9.004999999999999,7.587777777777777
16,1995-05-01,13.162903225806453,11.559408602150539
17,1995-06-01,15.178333333333331,13.730277777777777
18,1995-07-01,21.05967741935484,19.433333333333334
19,1995-08-01,19.538709677419355,17.756451612903227
20,1995-09-01,13.581666666666667,11.984166666666667
21,1995-10-01,12.275806451612903,11.61021505376344
22,1995-11-01,3.4416666666666664,2.849444444444444
23,1995-12-01,-1.8096774193548386,-1.9712365591397851
24,1996-01-01,-2.782258064516129,-2.5545698924731184
25,1996-02-01,-2.043103448275862,-2.467816091954023
26,1996-03-01,1.0596774193548388,0.6650537634408603
27,1996-04-01,9.383333333333335,7.8261111111111115
28,1996-05-01,11.648387096774194,10.447043010752688
29,1996-06-01,15.943333333333332,15.026111111111112
30,1996-07-01,16.66774193548387,15.402481389578165
31,1996-08-01,18.029032258064515,16.698759305210917
32,1996-09-01,11.666666666666666,10.517692307692307
33,1996-10-01,9.96774193548387,8.916625310173696
34,1996-11-01,5.180000000000001,4.180512820512821
35,1996-12-01,-2.083870967741935,-2.055831265508685
36,1997-01-01,-2.1193548387096777,-2.5923076923076924
37,1997-02-01,4.7250000000000005,3.7596153846153846
38,1997-03-01,5.84516129032258,5.401240694789081
39,1997-04-01,6.989999999999999,5.891794871794872
40,1997-05-01,13.074193548387097,11.885856079404467
41,1997-06-01,16.196666666666665,15.17230769230769
42,1997-07-01,17.758064516129032,16.53970223325062
43,1997-08-01,20.796774193548387,19.31935483870968
44,1997-09-01,14.033333333333331,13.561538461538463
45,1997-10-01,8.029032258064516,7.527543424317618
46,1997-11-01,4.25,3.6766666666666667
47,1997-12-01,2.4838709677419355,1.8585607940446651
48,1998-01-01,3.225806451612903,2.2890818858560795
49,1998-02-01,5.614285714285714,4.288461538461538
50,1998-03-01,5.800000000000001,4.492803970223325
51,1998-04-01,9.253333333333334,8.115897435897436
52,1998-05-01,14.838709677419354,13.323573200992557
53,1998-06-01,16.223333333333333,15.784615384615384
54,1998-07-01,16.651612903225807,16.02983870967742
55,1998-08-01,16.740322580645163,16.23763440860215
56,1998-09-01,14.075,12.865555555555554
57,1998-10-01,9.127419354838711,8.316935483870969
58,1998-11-01,2.0666666666666664,1.1802777777777778
59,1998-12-01,1.5774193548387097,0.8755376344086022
60,1999-01-01,3.5258064516129037,2.4459677419354837
61,1999-02-01,1.6,0.11923076923076925
62,1999-03-01,5.948387096774193,4.838709677419354
63,1999-04-01,9.813333333333333,8.300256410256411
64,1999-05-01,14.506451612903223,13.145409429280395
65,1999-06-01,15.78,14.716410256410256
66,1999-07-01,19.88387096774193,18.466253101736974
67,1999-08-01,17.648387096774194,16.770719602977668
68,1999-09-01,17.946666666666665,16.293846153846154
69,1999-10-01,9.919354838709678,8.771215880893301
70,1999-11-01,4.8,3.4099999999999997
71,1999-12-01,2.7870967741935484,2.0181141439205956
72,2000-01-01,2.0129032258064514,1.0697270471464018
73,2000-02-01,4.510344827586208,3.5734748010610082
74,2000-03-01,5.693548387096774,4.712655086848636
75,2000-04-01,10.916666666666666,9.535897435897436
76,2000-05-01,15.332258064516129,13.894789081885856
77,2000-06-01,17.326666666666664,16.367179487179484
78,2000-07-01,15.612903225806452,14.749875930521092
79,2000-08-01,17.76451612903226,17.045409429280397
80,2000-09-01,14.466666666666669,13.512820512820513
81,2000-10-01,11.19032258064516,10.212655086848635
82,2000-11-01,7.116666666666666,5.826153846153845
83,2000-12-01,3.4290322580645163,3.0873449131513646
84,2001-01-01,1.2483870967741937,0.8570719602977667
85,2001-02-01,2.3857142857142857,1.9093406593406594
86,2001-03-01,3.6193548387096777,3.8153846153846156
87,2001-04-01,7.876666666666667,6.467435897435897
88,2001-05-01,15.148387096774194,13.583374689826304
89,2001-06-01,14.59,13.64974358974359
90,2001-07-01,19.248387096774195,18.01509511993383
91,2001-08-01,18.93548387096774,18.113399503722086
92,2001-09-01,12.753333333333334,11.35051282051282
93,2001-10-01,13.148387096774194,12.166004962779157
94,2001-11-01,4.510000000000001,3.715384615384615
95,2001-12-01,0.4290322580645161,-0.3218362282878412
96,2002-01-01,2.1903225806451614,1.2076923076923078
97,2002-02-01,5.55,4.746428571428572
98,2002-03-01,5.72258064516129,5.070719602977667
99,2002-04-01,8.79,7.647222222222222
100,2002-05-01,14.082258064516129,13.092741935483872
101,2002-06-01,17.714999999999996,16.737777777777776
102,2002-07-01,18.293548387096777,17.181182795698927
103,2002-08-01,19.808064516129036,18.376344086021508
104,2002-09-01,14.468333333333334,13.090000000000002
105,2002-10-01,8.387096774193548,8.068817204301075
106,2002-11-01,5.675,5.043888888888889
107,2002-12-01,-0.17096774193548384,0.0873655913978495
108,2003-01-01,0.2774193548387096,-0.45190615835777126
109,2003-02-01,-1.042857142857143,-1.9133116883116883
