Datum,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
2023-01-01,,,2.196774193548387,2.967741935483871,,1.5806451612903225,,7.138709677419355,,3.458064516129032,88.3225806451613,5.264516129032257,1.606451612903226,0.4774193548387096
2023-02-01,,,0.3785714285714285,1.8571428571428568,,0.0,,6.821428571428571,,4.075,80.14285714285714,7.521428571428571,1.0035714285714286,-1.032142857142857
2023-03-01,,,3.470967741935484,2.967741935483871,,0.0,,7.541935483870968,,6.651612903225806,75.51612903225806,10.55483870967742,2.829032258064516,0.9225806451612903
2023-04-01,,,2.85,2.2666666666666666,,0.0,,8.03,,8.343333333333334,72.7,12.56,4.076666666666666,1.3233333333333337
2023-05-01,,,0.567741935483871,1.4193548387096775,,,,10.816129032258065,,14.283870967741937,67.93548387096774,19.6,8.716129032258063,6.280645161290322
2023-06-01,,,0.29,0.9333333333333332,,,,12.33,,20.346666666666668,52.897666666666666,26.15666666666667,13.52,9.596666666666666
2023-07-01,,,4.258064516129032,2.193548387096774,,,,14.174193548387096,,19.293548387096774,65.15129032258065,24.396774193548385,14.390322580645162,11.370967741935484
2023-08-01,,,3.870967741935484,2.838709677419355,,,,16.88064516129032,,18.67419354838709,78.53516129032259,23.43548387096774,14.312903225806451,12.0
2023-09-01,,,0.5400000000000001,1.0666666666666669,,,,15.026666666666667,,18.59,71.03633333333333,24.26333333333333,13.1,9.45
2023-10-01,,,4.706451612903226,2.193548387096774,,0.0,,11.64516129032258,,12.619354838709675,79.80935483870968,16.92258064516129,8.525806451612903,5.335483870967742
2023-11-01,,,5.113333333333333,3.733333333333333,,0.0333333333333333,,8.49,,5.953333333333333,88.99133333333333,8.136666666666667,3.93,2.543333333333333
2023-12-01,,,3.0,3.096774193548387,,0.0,,7.867741935483871,,4.625806451612903,90.13032258064516,6.574193548387097,2.841935483870968,1.464516129032258
1994-01-01,13.358064516129032,5.22258064516129,2.896774193548387,6.516129032258065,0.7967741935483871,0.0967741935483871,6.574193548387097,6.696774193548387,1003.8064516129032,3.5290322580645164,83.93548387096774,5.680645161290323,1.5,0.8870967741935484
1994-02-01,9.24642857142857,3.382142857142857,0.2214285714285714,3.321428571428572,3.2214285714285715,0.6071428571428571,5.542857142857143,4.710714285714286,1012.4285714285714,-0.4928571428571428,75.67857142857143,2.335714285714286,-3.271428571428572,-5.035714285714286
1994-03-01,15.564516129032258,5.564516129032258,3.074193548387097,6.193548387096774,2.938709677419354,0.0,6.16774193548387,7.451612903225806,1007.3225806451612,6.229032258064516,77.54838709677419,9.72258064516129,3.032258064516129,1.3096774193548388
1994-04-01,11.363333333333337,3.37,2.01,3.1333333333333333,6.303333333333333,0.0,4.3533333333333335,8.173333333333334,1005.4133333333334,9.943333333333332,65.93333333333334,14.353333333333332,5.04,1.1666666666666667
