,Datum,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
0,1994-01-01,13.896774193548389,4.796774193548386,2.8306451612903225,5.516129032258064,1.2999999999999998,0.04838709677419349,6.574193548387097,6.761290322580645,1003.1467741935483,3.6870967741935488,85.19354838709677,5.924193548387096,1.5225806451612902,0.8870967741935484
1,1994-02-01,9.760714285714286,3.382142857142857,0.9714285714285714,4.142857142857143,2.7357142857142858,1.0357142857142858,5.5928571428571425,5.121428571428572,1011.2142857142858,-0.4714285714285715,77.78571428571429,2.435714285714286,-3.253571428571429,-3.9589285714285714
2,1994-03-01,15.725806451612904,5.274193548387097,3.074193548387097,5.419354838709677,3.356451612903226,0.0,6.180645161290322,7.65483870967742,1006.6403225806453,6.351612903225806,78.90322580645162,10.30967741935484,3.083870967741935,2.27258064516129
3,1994-04-01,12.066666666666666,3.6966666666666654,2.138333333333333,3.6999999999999997,5.241666666666667,0.0,5.343333333333334,8.453333333333333,1004.2666666666667,8.863333333333333,75.4,13.446666666666665,4.693333333333333,2.756666666666667
4,1994-05-01,11.793548387096775,3.174193548387097,2.6,3.741935483870968,6.416129032258064,0.0,5.193548387096774,10.616129032258064,1006.9145161290321,13.209677419354838,73.80645161290323,17.89032258064516,8.080645161290322,6.47258064516129
5,1994-06-01,11.983333333333333,3.3233333333333333,1.97,3.2,7.383333333333334,0.0,5.1033333333333335,12.81,1009.8466666666666,16.29,69.06666666666666,21.46333333333333,11.276666666666667,9.58
6,1994-07-01,9.7,2.4451612903225803,1.4080645161290324,1.4516129032258065,10.441935483870967,0.0,3.590322580645161,16.1758064516129,1010.8677419354838,22.579032258064522,65.61290322580645,28.18064516129032,16.05483870967742,13.574193548387097
7,1994-08-01,11.229032258064516,2.9096774193548387,3.0532258064516125,3.774193548387097,7.151612903225806,0.0,4.693548387096774,15.012903225806454,1006.9258064516127,18.200000000000003,73.96774193548387,23.47741935483871,13.683870967741935,12.338709677419354
8,1994-09-01,10.693333333333332,3.293333333333333,3.2350000000000003,4.333333333333334,3.75,0.0,5.748333333333333,13.196666666666667,1006.4583333333334,13.853333333333332,82.05000000000001,17.505000000000003,10.485,9.533333333333331
9,1994-10-01,9.625806451612904,3.070967741935484,1.7645161290322582,3.0,4.467741935483871,0.0,4.8999999999999995,8.627419354838711,1010.3725806451613,8.153225806451612,78.2741935483871,12.466129032258065,4.280645161290322,2.735483870967742
10,1994-11-01,10.983333333333333,4.316666666666666,1.4233333333333333,3.6833333333333336,1.89,0.0,6.0216666666666665,9.081666666666667,1012.3266666666666,7.786666666666667,84.53333333333333,10.203333333333333,5.091666666666667,4.683333333333334
11,1994-12-01,12.548387096774194,4.690322580645161,2.253225806451613,4.580645161290322,1.4225806451612903,0.0,5.8096774193548395,7.346774193548387,1010.9725806451613,4.262903225806452,84.54838709677419,6.543548387096774,1.7903225806451615,1.2225806451612906
12,1995-01-01,13.741935483870968,5.064516129032258,3.364516129032258,5.467741935483871,1.883870967741936,0.8548387096774194,5.993548387096775,5.727419354838709,1006.1258064516128,1.0258064516129033,82.80645161290323,3.4951612903225806,-1.5241935483870965,-2.525806451612904
13,1995-02-01,14.725,5.378571428571428,2.310714285714286,5.821428571428571,2.382142857142857,0.0714285714285714,6.260714285714286,7.2625,1003.2750000000001,5.296428571428571,80.5,8.307142857142857,2.255357142857143,1.425
14,1995-03-01,14.525806451612905,5.209677419354839,2.5419354838709682,5.032258064516129,4.706451612903226,0.3709677419354839,5.0112903225806456,6.066129032258065,1004.8193548387096,3.896774193548387,76.32258064516128,7.830645161290322,0.45483870967741935,-1.029032258064516
15,1995-04-01,12.6,4.5233333333333325,1.5766666666666667,4.1,4.760000000000001,0.0,5.578333333333333,8.245000000000001,1006.7166666666666,9.004999999999999,73.73333333333333,13.206666666666667,4.756666666666667,3.43
16,1995-05-01,10.451612903225806,3.4000000000000004,2.2887096774193547,3.387096774193548,7.135483870967741,0.0,5.070967741935484,10.309677419354838,1008.3209677419354,13.162903225806453,69.95161290322581,17.854838709677416,7.558064516129033,5.735483870967743
17,1995-06-01,9.756666666666666,3.18,3.3733333333333335,4.2,5.933333333333334,0.0,5.381666666666667,12.848333333333334,1008.3299999999999,15.178333333333331,75.31666666666666,19.68333333333333,10.636666666666668,9.473333333333333
18,1995-07-01,10.44516129032258,3.203225806451613,2.1822580645161285,2.6129032258064515,9.258064516129032,0.0,3.8112903225806454,16.443548387096776,1008.8532258064517,21.05967741935484,69.62903225806451,26.782258064516128,15.187096774193549,13.35483870967742
19,1995-08-01,9.941935483870967,2.9064516129032256,2.079032258064516,2.4193548387096775,8.374193548387098,0.0,4.070967741935484,14.359677419354838,1008.7564516129032,19.538709677419355,69.06451612903226,25.159677419354843,13.640322580645162,11.4
20,1995-09-01,10.223333333333333,3.4033333333333333,3.3133333333333335,4.266666666666667,3.98,0.0,5.878333333333334,12.251666666666669,1004.13,13.581666666666667,81.35,17.519999999999996,10.196666666666667,8.806666666666667
21,1995-10-01,7.793333333333334,2.832258064516129,0.6370967741935483,2.903225806451613,3.832258064516129,0.0,5.199999999999999,12.341935483870968,1015.2596774193548,12.275806451612903,83.59677419354838,16.43709677419355,8.488709677419354,6.506451612903226
22,1995-11-01,9.65,3.58,1.6616666666666666,3.783333333333333,2.396666666666667,0.0666666666666666,5.783333333333333,6.815,1010.25,3.4416666666666664,83.25,6.378333333333333,0.8700000000000001,0.0799999999999999
