Datum,STATIONS_ID,QN_3,FX,FM,QN_4,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK,eor
1874-01,1443.0,,,,1.0,0.9935483870967741,0.4838709677419355,,0.0,5.458064516129032,6.45483870967742,988.4935483870968,2.793548387096774,85.09677419354838,,,,
1874-02,1443.0,,,,1.0,0.41481481481481486,0.39285714285714285,,0.0,5.0777777777777775,5.735714285714286,986.1347826086956,1.885714285714286,81.75,,,,
1874-03,1443.0,,,,1.0,1.9266666666666665,0.9032258064516129,,0.0,4.633333333333334,6.709677419354839,988.4774193548387,5.790322580645161,73.70967741935483,,,,
1874-04,1443.0,,,,1.0,2.243333333333333,0.2,,0.0,4.406666666666666,9.056666666666667,978.5466666666667,12.05,65.3,,,,
1874-05,1443.0,,,,1.0,4.293548387096774,0.5483870967741935,,0.0,5.638709677419355,9.270967741935483,978.5096774193548,11.174193548387096,69.19354838709677,,,,
1874-06,1443.0,,,,1.0,2.025,0.3333333333333333,,0.0,4.543333333333334,13.360000000000001,984.0300000000001,17.90666666666667,66.06666666666666,,,,
1874-07,1443.0,,,,1.0,4.151612903225806,0.45161290322580644,,0.0,4.103225806451613,17.393548387096775,982.8677419354839,22.048387096774192,66.35483870967742,,,,
1874-08,1443.0,,,,1.0,1.7258064516129032,0.22580645161290322,,0.0,3.825806451612903,13.332258064516129,983.3612903225807,17.606451612903225,66.09677419354838,,,,
1874-09,1443.0,,,,1.0,2.436666666666667,0.23333333333333334,,0.0,3.348275862068965,13.173333333333334,985.328,17.653333333333332,65.96666666666667,,,,
1874-10,1443.0,,,,1.0,1.9322580645161291,0.1935483870967742,,0.0,3.8677419354838714,10.083870967741936,984.1516129032258,11.612903225806452,73.3225806451613,,,,
1874-11,1443.0,,,,1.0,4.843333333333334,1.2,,0.0,6.496666666666667,6.3566666666666665,981.6366666666667,1.7666666666666666,89.96666666666667,,,,
1874-12,1443.0,,,,1.0,2.3,1.5806451612903225,,0.0,7.419354838709677,5.470967741935484,974.7322580645161,-0.029032258064516082,88.80645161290323,,,,
1875-01,1443.0,,,,1.0,3.206451612903226,0.41935483870967744,,0.0,6.487096774193549,7.043333333333334,986.3677419354839,5.067741935483871,77.80645161290323,,,,
1875-02,1443.0,,,,1.0,0.2357142857142857,1.0,,0.0,5.642857142857143,,981.7464285714286,-1.3928571428571428,,,,,
1875-03,1443.0,,,,1.0,1.5035714285714286,1.4,,0.0,4.746666666666667,,984.3709677419355,4.229032258064516,,,,,
1875-04,1443.0,,,,1.0,6.8,1.0,,,,,,,,,,,
1875-05,1443.0,,,,1.0,2.7483870967741937,0.2903225806451613,,0.0,3.764516129032258,11.693548387096774,983.7838709677419,16.496774193548386,62.74193548387097,,,,
1875-06,1443.0,,,,1.0,5.236666666666666,0.43333333333333335,,0.0,5.4366666666666665,14.54,982.0866666666666,18.863333333333333,67.83333333333333,,,,
1875-07,1443.0,,,,1.0,4.270967741935484,0.5161290322580645,,0.0,5.516129032258065,15.23225806451613,981.816129032258,18.53548387096774,71.70967741935483,,,,
1875-08,1443.0,,,,1.0,2.2419354838709675,0.22580645161290322,,0.0,3.532258064516129,16.393548387096775,984.2838709677419,20.76451612903226,67.70967741935483,,,,
1875-09,1443.0,,,,1.0,3.85,0.26666666666666666,,0.0,3.466666666666667,13.506666666666666,985.8566666666667,16.976666666666667,70.03333333333333,,,,
1875-10,1443.0,,,,1.0,4.816129032258065,0.5161290322580645,,0.0,5.719354838709678,9.412903225806453,978.741935483871,8.845161290322581,82.41935483870968,,,,
1875-11,1443.0,,,,1.0,5.22,1.4,,0.0,7.239999999999999,7.443333333333333,977.3333333333334,4.496666666666667,86.83333333333333,,,,
1875-12,1443.0,,,,1.0,0.7516129032258063,1.096774193548387,,0.0,6.800000000000001,5.325806451612903,986.6419354838711,-1.5,94.35483870967742,,,,
1876-01,1443.0,,,,1.0,0.38387096774193546,0.5483870967741935,,0.0,6.235483870967743,4.945161290322581,990.816129032258,-2.396774193548387,93.83870967741936,,,,
1876-02,1443.0,,,,1.0,5.26896551724138,0.5862068965517241,,0.0,6.724137931034483,7.186206896551725,979.5896551724137,3.6724137931034484,87.34482758620689,,,,
1876-03,1443.0,,,,1.0,4.906666666666666,1.967741935483871,,0.0,6.641935483870968,7.496774193548387,972.7548387096774,6.187096774193549,79.06451612903226,,,,
1876-04,1443.0,,,,1.0,5.1,0.7,,0.0,5.503333333333333,8.683333333333334,979.2166666666667,10.513333333333332,69.46666666666667,,,,
1876-05,1443.0,,,,1.0,1.0483870967741935,0.22580645161290322,,0.0,4.787096774193548,8.158064516129032,982.1064516129032,12.070967741935483,59.25806451612903,,,,
1876-06,1443.0,,,,1.0,9.143333333333334,0.5333333333333333,,0.0,4.91,14.096666666666666,980.6733333333334,17.98,68.83333333333333,,,,
1876-07,1443.0,,,,1.0,1.9516129032258065,0.25806451612903225,,0.0,3.596774193548387,15.416129032258064,985.6741935483872,20.883870967741935,63.645161290322584,,,,
1876-08,1443.0,,,,1.0,4.135483870967741,0.2903225806451613,,0.0,3.990322580645161,14.02,983.0451612903227,20.761290322580646,58.67741935483871,,,,
1876-09,1443.0,,,,1.0,7.21,0.5333333333333333,,0.0,5.66,12.479999999999999,980.8066666666667,14.473333333333333,75.36666666666666,,,,
1876-10,1443.0,,,,1.0,0.8967741935483872,0.12903225806451613,,0.0,5.538709677419354,12.019354838709678,982.0451612903227,12.919354838709678,78.83870967741936,,,,
