Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
850;Celle;;;;;19790101;19790102;Gerätetyp unbekannt;Temperatur/Feuchtemessung, konv.;eor;
850;Celle;10.03;52.6;39;2;19790103;20061231;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
850;Celle;10.03;52.6;39;2;20070101;20070613;PT 100 (Luft);Temperaturmessung, elektr.;eor;
850;Celle;10.03;52.6;39;2;20070614;20170330;PT 100 (Luft);Temperaturmessung, elektr.;eor;
850;Celle;10.03;52.6;44.74;2;20170331;20240328;PT 100 (Luft);Temperaturmessung, elektr.;eor;
generiert: 03.04.2024 --  Deutscher Wetterdienst  --
