Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1757;Greifswald;TMK;25.06.1900;25.06.1900;1;;eor;                                                                                                                                                       
1757;Greifswald;TMK;01.01.1914;31.12.1915;730;;eor;                                                                                                                                                     
1757;Greifswald;TMK;01.06.1921;30.06.1921;30;;eor;                                                                                                                                                      
1757;Greifswald;TMK;01.01.1922;31.12.1927;2191;;eor;                                                                                                                                                    
1757;Greifswald;TMK;30.12.1937;31.12.1937;2;;eor;                                                                                                                                                       
1757;Greifswald;TMK;01.02.1943;31.12.1946;1430;Kriegsjahre;eor;                                                                                                                                         
1757;Greifswald;TMK;01.01.1958;31.12.1958;365;;eor;                                                                                                                                                     
1757;Greifswald;TMK;01.01.1960;31.12.1960;366;;eor;                                                                                                                                                     
1757;Greifswald;TMK;01.01.1964;31.12.1977;5114;;eor;                                                                                                                                                    
1757;Greifswald;TXK;01.01.1914;31.12.1915;730;;eor;                                                                                                                                                     
1757;Greifswald;TXK;01.06.1921;30.06.1921;30;;eor;                                                                                                                                                      
1757;Greifswald;TXK;01.01.1922;31.12.1927;2191;;eor;                                                                                                                                                    
1757;Greifswald;TXK;01.01.1931;28.02.1931;59;;eor;                                                                                                                                                      
1757;Greifswald;TXK;01.02.1943;31.12.1946;1430;Kriegsjahre;eor;                                                                                                                                         
1757;Greifswald;TXK;01.01.1958;31.12.1958;365;;eor;                                                                                                                                                     
1757;Greifswald;TXK;01.01.1960;31.12.1960;366;;eor;                                                                                                                                                     
1757;Greifswald;TXK;01.01.1964;31.12.1977;5114;;eor;                                                                                                                                                    
1757;Greifswald;TNK;01.01.1914;31.12.1915;730;;eor;                                                                                                                                                     
1757;Greifswald;TNK;01.06.1921;30.06.1921;30;;eor;                                                                                                                                                      
1757;Greifswald;TNK;01.01.1922;31.12.1927;2191;;eor;                                                                                                                                                    
1757;Greifswald;TNK;01.01.1931;28.02.1931;59;;eor;                                                                                                                                                      
1757;Greifswald;TNK;01.02.1943;31.12.1946;1430;Kriegsjahre;eor;                                                                                                                                         
