Land ,"Ostern 
1959 ","Pfingsten 
1959 ","Sommer 
1959 ","Herbst 
1959 ","Weihnachten 
1959/60 "
Baden-Württ.,23.03. - 06.04.,19.05. - 23.05.,23.07. - 01.09.,27.10. - 31.10.,24.12. - 05.01.
Bayern,21.03. - 06.04.,16.05. - 20.05.,16.07. - 02.09.,--,23.12. - 07.01.
Berlin,25.03. - 08.04.,nur 16.05.,09.07. - 19.08.,29.09. - 08.10.,21.12. - 06.01.
Bremen,21.03. - 07.04.,16.05. - 20.05.,01.07. - 05.08.,05.10. - 18.10.,23.12. - 03.01.
Hamburg,18.03. - 02.04.,15.05. - 19.05.,09.07. - 19.08.,01.10. - 08.10.,23.12. - 05.01.
Hessen,26.03. - 08.04.,15.05. - 19.05.,09.07. - 19.08.,10.10. - 19.10.,23.12. - 06.01.
Niedersachsen,26.03. - 08.04.,16.05. - 21.05.,16.07. - 26.08.,06.10. - 15.10.,23.12. - 06.01.
Nordrhein-Westfalen,26.03. - 08.04.,16.05. - 21.05.,01.07. - 11.08.,17.10. - 24.10.,23.12. - 06.01.
Rheinland-Pfalz,21.03. - 06.04.,19.05. - 20.05.,23.07. - 02.09.,"9 Tage; nicht 
festgelegt",24.12. - 07.01.
Saarland,21.03. - 06.04.,19.05. - 25.05.,23.07. - 02.09.,31.10. - 05.11.,23.12. - 05.01.
Schleswig-Holstein,25.03. - 02.04.,15.05. - 19.05.,09.07. - 19.08.,29.09. - 08.10.,23.12. - 05.01.
