Land ,"Sommer 
1973 ","Herbst 
1973 ","Weihnachten 
1973/74 ","Ostern/Frühjahr 
1974 ","Himmelf./Pfingsten 
1974 "
Baden-Württemberg,19.07. – 03.09.,nan,24.12. – 12.01.,06.04. – 22.04.,01.06. – 04.06.
Bayern,26.07. – 12.09.,31.10. – 02.11.,22.12. – 07.01.,08.04. – 20.04.,04.06. – 15.06.
Berlin,12.07. – 25.08.,29.10. – 03.11.,22.12. – 05.01.,25.03. – 16.04.,01.06. – 04.06.
Bremen,12.07. – 25.08.,22.10. – 27.10.,24.12. – 09.01.,25.03. – 16.04.,04.06.
Hamburg,09.07. – 18.08.,15.10. – 27.10.,24.12. – 02.01.,11.03. – 30.03.,04.06.
Hessen,05.07. – 18.08.,nan,22.12. – 10.01.,03.04. – 23.04.,01.06. – 04.06.
Niedersachsen,12.07. – 22.08.,08.10. – 20.10.,22.12. – 07.01.,27.03. – 16.04.,01.06. – 04.06.
Nordrhein-Westfalen,15.06. – 28.07.,05.10. – 13.10.,24.12. – 16.01.,08.04. – 27.04.,01.06.
Rheinland-Pfalz,28.06. – 08.08.,15.10. – 20.10.,22.12. – 05.01.,25.03. – 16.04.,01.06. – 04.06.
Saarland,28.06. – 11.08.,15.10. – 20.10.,24.12. – 05.01.,01.04. – 20.04.,nan
Schleswig-Holstein,05.07. – 18.08.,13.10. – 20.10.,22.12. – 07.01.,01.04. – 20.04.,01.06. – 04.06.
