Land ,"Sommer 
1985 ","Herbst 
1985 ","Weihnachten 
1985/86 ","Ostern/Frühjahr 
1986 ","Himmelf./Pfingsten 
1986 "
Baden-Württemberg,25.07. – 07.09.,28.10. – 30.10. *),23.12. – 13.01.,24.03.. – 04.04.,20.05. – 23.05.
Bayern,01.08. – 16.09.,-,23.12. – 11.01.,24.03. – 05.04.,20.05. – 31.05.
Berlin,18.07.– 31.08.,26.10. – 02.11.,23.12. – 06.01.,15.03. – 05.04.,17.05. – 20.05.
Bremen,18.07. – 31.08.,28.10. – 02.11.,23.12. – 11.01.,24.03. – 12.04.,20.05.
Hamburg,15.07. – 24.08.,21.10. – 26.10.,23.12. – 04.01.,Frühjahrsferien,20.05. – 24.05.
nan,nan,nan,nan,10.03. – 31.03.,nan
Hessen,11.07. – 21.08.,07.10. – 12.10.,21.12. – 11.01.,24.03. – 12.04.,17.05. - 20.05.
Niedersachsen,18.07. – 28.08.,23.10. – 02.11.,21.12. – 06.01.,22.03. – 12.04.,17.05. – 20.05.
Nordrhein-Westfalen,18.06. – 03.08.,07.10. – 12.10.,21.12. – 06.01.,15.03. – 05.04.,17.05. - 20.05.
Rheinland-Pfalz,04.07. – 14.08.,21.10. – 26.10.,23.12. – 08.01.,24.03. – 12.04.,20.05.
Saarland,04.07. – 17.08.,26.10. – 02.11.,21.12. – 04.01. **),17.03. - 07.04.,-
Schleswig-Holstein,11.07. - 21.08.,14.10. – 26.10.,23.12. – 08.01.,24.03. – 09.04.,-
