Land ,"Ostern 
1955 ","Pfingsten 
1955 ","Sommer 
1955 ","Herbst 
1955 ","Weihnachten 
1955/56 "
Baden-Württ.,04.04. - 18.04.,28.05. - 01.06.,01.08. - 06.09.,10.10. - 15.10.X),24.12. – 07.01.
Bayern,02.04. - 18.04.,28.05. - 01.06.,16.07. - 31.08.,29.10. - 02.11.,23.12. - 09.01.
Berlin,01.04. - 13.04.,28.05. - 04.06.,01.07. - 11.08.,30.09. - 06.10.,23.12. – 06.01.
Bremen,01.04. - 17.04.,28.05. - 05.06.,02.07. - 07.08.,23.10. - 01.11.,23.12. - 08.01.
Hamburg,30.03. - 14.04.,28.05. - 31.05.,07.07. - 17.08.,30.09. - 10.10.,22.12. - 02.01.
Hessen,02.04. - 18.04.,28.05. - 05.06.,16.07. - 16.08.,09.10. - 17.10.,22.12. – 08.01.
Nordrhein-WestfalenXX),01.04. - 18.04.,27.05. - 05.06.,29.07. - 06.09.,29.10. - 02.11.,23.12. - 02.01.
Niedersachsen,01.04. - 14.04.,28.05. - 06.06.,01.07. - 08.08.,01.10. - 10.10.,23.12. – 03.01.
Rheinland-Pfalz,01.04. - 18.04. A,28.05. - 31.05.,17.07. - 31.08.,?,22.12. - 09.01.
oder,01.04. - 18.04. B,28.05. - 02.06.,24.07. - 31.08.,29.10. - 02.11.,24.12. - 09.01.
Schleswig-Holstein,01.04. - 13.04.,28.05. - 01.06.,07.07. - 15.08.,01.10. - 13.10.,22.12. - 04.01.
