Land 2) ,"Sommer 
1995 ","Herbst 
1995 ","Weihnachten 
1995/96 ","Winter 
1996 ","Ostern/Frühjahr 
1996 ","Himmelf./Pfingsten 
1996 "
Baden-Württemberg (5),27.07.-09.09.,23.10.-30.10.,23.12.-05.01.,nan,09.04.-13.04.,20.05.-31.05.
Bayern (2),27.07.-11.09.,30.10.-04.11.,27.12.-08.01.,19.02.,01.04.-13.04.,28.05.-08.06.
Berlin (-),29.06.-12.08.,30.09.-07.10.,23.12.-03.01.,03.02.-17.02.,30.03.-13.04.,17.05. 3)
Brandenburg (3),29.06.-12.08.,02.10.-07.10./30.10.,21.12.-05.01.,05.02.-10.02.,04.04./09.04.-13.04.,28.05.
Bremen (1),06.07.-19.08.,02.10.-09.10.,22.12.-06.01.,nan,25.03.-13.04.,nan
Hamburg (-),29.06.-09.08.,02.10.-14.10.,27.12.-06.01.,02.02. 3),04.03.-16.03.,29.04.-04.05./17.05. 3)
Hessen (4),06.07.-18.08.,16.10.-21.10.,27.12.-09.01.,nan,25.03.-13.04.,nan
Mecklenburg-Vorpommern (2),29.06.-09.08.,09.10.-14.10.,20.12.-03.01.,05.02.-17.02.,03.04.-12.04.,25.05.-28.05.
Niedersachsen (1),22.06.-02.08.,02.10.-14.10.,23.12.-06.01.,nan,25.03.-13.04.,17.05. 3) / 28.05. 3)
Nordrhein-Westfalen (4),13.07.-26.08.,16.10.-20.10.,23.12.-06.01.,nan,25.03.-12.04.,28.05.
Rheinland-Pfalz (4),06.07.-18.08.,09.10.-20.10.,23.12.-05.01.,nan,28.03.-13.04.,nan
Saarland (-),06.07.-16.08.,09.10.-21.10.,20.12.-06.01.,nan,01.04.-15.04.,nan
Sachsen (2),22.06.-02.08.,12.10.-21.10.,21.12.-06.01.,08.02.-17.02.,04.04.-10.04.,23.05.-29.05.
Sachsen-Anhalt (-),22.06.-02.08.,02.10.-10.10.,21.12.-02.01.,12.02.-23.02.,01.04.-04.04.,17.05.-25.05.
Schleswig-Holstein (3),29.06.-09.08. 4),09.10.-21.10. 4),22.12.-08.01.,nan,29.03.-13.04.,nan
Thüringen (3),22.06.-02.08.,09.10.-14.10.,22.12.-06.01.,05.02.-10.02.,01.04.-13.04.,24.05.-28.05.
