Land ,"Sommer 
1975 ","Herbst 
1975 ","Weihnachten 
1975/76 ","Ostern/Frühjahr 
1976 ","Himmelf./Pfingsten 
1976 "
Baden-Württemberg,03.07. – 16.08.,27.10. – 30.10.,22.12. – 10.01.,10.04. – 26.04.,05.06. – 08.06.
Bayern,24.07. – 10.09.,31.10.,22.12. – 09.01.,12.04. – 24.04.,08.06. – 19.06.
Berlin,26.06. – 09.08.,27.10. – 01.11.,22.12. – 07.01.,29.03. – 20.04.,05.06. – 08.06.
Bremen,26.06. – 09.08.,06.10. – 11.10.,22.12. – 05.01.,29.03. – 20.04.,08.06.
Hamburg,23.06. – 02.08.,29.09. – 18.10.,22.12. – 03.01.,15.03. – 27.03.,nan
Hessen,23.06. – 02.08.,nan,22.12. – 10.01.,05.04. – 24.04.,nan
Niedersachsen,26.06. – 06.08.,29.09. – 11.10.,22.12. – 06.01.,31.03. – 20.04.,05.06. – 08.06.
Nordrhein-Westfalen,17.07. – 30.08.,20.10. – 25.10.,22.12. – 07.01.,05.04. – 24.04.,05.06. – 08.06.
Rheinland-Pfalz,16.06. – 31.07.,08.10. – 14.10.,22.12. – 06.01.,14.04. – 04.05.,05.06. – 08.06.
Saarland,16.06. – 31.07.,06.10. – 11.10.,22.12. – 06.01.,12.04. – 30.04.,nan
Schleswig-Holstein,14.06. – 02.08.,06.10. – 11.10.,22.12. – 06.01.,03.04. – 24.04.,05.06. – 08.06.
