"Land
(in Klammern Zahl der
beweglichen Ferientage)","Herbst
2011","Weihnachten
2011/2012","Winter
2012","Ostern/Frühjahr
2012","Himmelfahrt/Pfingsten
2012","Sommer
2012"
Baden-Württemberg (3),02.11. – 04.11.2,23.12. - 05.01.,-,02.04. - 13.04.,29.05. – 09.06.,26.07. - 08.09.
Bayern (),31.10. – 05.11.,27.12. – 05.01.,20.02. – 24.02.,02.04. – 14.04,29.05. – 09.06,01.08. - 12.09.
Berlin (-),04.10. - 14.10.,23.12. - 03.01.,30.01. - 04.02.,02.04. - 14.04.,30.04. und 18.05.,20./21.06. - 03.08.
Brandenburg (2),04.10. - 14.10.,23.12. - 03.01.,30.01. - 04.02.,04.04. - 14.04.,30.04. und 18.05.,21.06. - 03.08.
Bremen (2),17.10. – 29.10.,23.12. – 04.01.,30.01. – 31.01.,26.03. – 11.04.,29.05.,23.07. - 31.08.
Hamburg (-),04.10. - 14.10.,27.12. – 06.01.,30.01.,05.03. – 16.03.,"30.04. – 04.05.
und 18.05.",21.06. - 01.08.
Hessen (3),10.10. – 22.10.,21.12. – 06.01.,-,02.04. – 14.04.,-,02.07. - 10.08.
Mecklenburg-Vorpommern (3) 3,17.10. – 21.10.,23.12. – 03.01.,06.02. – 17.02.,02.04. – 11.04.,25.05. – 29.05.,23.06. - 04.08.
Niedersachsen (-),17.10. – 29.10.,23.12. – 04.01.,30.01. – 31.01.,26.03. – 11.04.,30.04. / 18.05. / 29.05.,23.07. - 31.08.
Nordrhein-Westfalen (3),24.10. – 05.11.,23.12. – 06.01.,-,02.04. – 14.04.,29.05.,09.07. - 21.08.
Rheinland-Pfalz (4),04.10. –14.10.,22.12. – 06.01.,-,29.03. – 13.04.,-,02.07. - 10.08.
Saarland (1),04.10. – 15.10.,23.12. – 04.01.,20.02. – 25.02.,02.04. – 14.04.,-,02.07. - 14.08.
Sachsen (2),17.10. – 28.10.,23.12. – 02.01.,13.02. – 25.02.,06.04. – 14.04.,18.05.,23.07. - 31.08.
Sachsen-Anhalt (1),17.10. – 22.10.,22.12. – 07.01.,04.02. – 11.02.,02.04. – 05.04.,18.05. – 25.05.,23.07. - 05.09.
Schleswig-Holstein (3) 4,10.10. – 22.10.,23.12. – 06.01.,-,30.03. – 13.04.,18.05.,25.06. - 04.08.
Thüringen (3),17.10. – 28.10.,23.12. – 31.12.,06.02. – 11.02.,02.04. – 13.04.,25.05. – 29.05.,23.07. - 31.08.
