Land ,"Sommer 
1986 ","Herbst 
1986 ","Weihnachten 
1986/87 ","Winter 
1987 ","Ostern/Frühjahr 
1987 ","Himmelf./Pfingsten 
1987 "
Baden-Württemberg,10.07. – 25.08.,27.10. – 30.10. *),22.12. – 10.01.,nan,13.04. – 27.04.,09.06.
Bayern,31.07. – 15.09.,2024-10-31 00:00:00,22.12. – 10.01.,nan,13.04. – 25.04.,09.06. – 20.06.
Berlin,03.07.– 16.08.,25.10. – 01.11.,22.12. – 06.01.,nan,02.04. – 21.04.,01.06. – 09.06.
Bremen,07.07. – 16.08.,13.10. – 18.10.,22.12. – 10.01.,nan,02.04. – 21.04.,-
Hamburg,30.06. – 09.08.,06.10. – 18.10.,22.12. – 03.01.,nan,Frühjahrsferien,29.05.
nan,nan,nan,nan,nan,09.03. – 21.03.,nan
Hessen,26.06. – 06.08.,06.10. – 17.10.,22.12. – 10.01.,nan,03.04. – 21.04.,09.06.
Niedersachsen,03.07. – 13.08.,08.10. – 18.10.,20.12. – 06.01.,nan,01.04. – 21.04.,06.06. – 09.06.
Nordrhein-Westfalen,24.07. – 06.09.,25.10. – 31.10.,22.12. – 07.01.,nan,06.04. – 25.04.,06.06. - 09.06.
Rheinland-Pfalz,20.06. – 01.08.,20.10. – 25.10.,22.12. – 06.01.,nan,10.04. – 30.04.,09.06.
Saarland,16.06. – 02.08.,06.10. – 18.10.,22.12. – 05.01. **),nan,13.04. - 27.04.,-
Schleswig-Holstein,26.06. - 06.08.,06.10. – 18.10.,22.12. – 07.01.,nan,09.04. – 25.04.,-
