"Land (in Klammern Zahl der
beweglichen Ferientage)","Herbst
2004","Weihnachten
2004/2005","Winter
2005","Ostern/Frühjahr
2005","Himmelfahrt/Pfingsten
2005","Sommer 
2005"
Baden-Württemberg (4),02.11. - 06.11.,23.12. - 08.01.,-,24.03. / 29.03. - 02.04.,17.05. - 28.05.,28.07. - 10.09.
Bayern (-),02.11. - 06.11.,24.12. - 07.01.,07.02.- 11.02.,21.03. - 02.04.,17.05. - 28.05.,01.08. - 12.09.
Berlin (-),04.10. - 16.10.,23.12. - 31.12.,24.01. - 29.01.,23.03. - 01.04.,06.05. / 17.05. - 21.05.,23.06. - 06.08.
Brandenburg (2),04.10. - 16.10.,23.12. - 31.12.,24.01. - 29.01.,23.03. - 02.04.,06.05.,23.06. - 06.08.
Bremen (1),11.10. - 23.10.,23.12. - 08.01.,31.01. - 01.02.,19.03. - 02.04.,17.05.,14.07. - 24.08
Hamburg (-),04.10. - 16.10.,22.12. - 31.12.,-,14.03. - 26.03.,06.05. - 13.05.,30.06. - 10.08.
Hessen (3),18.10. - 30.10.,22.12. - 08.01.,-,29.03. - 09.04.,-,25.07. - 03.09.
Mecklenburg-Vorpommern (3),18.10. - 23.10.,22.12. - 03.01.,31.01. - 11.02.,21.03. - 29.03.,13.05. - 17.05.,27.06. - 06.08.
Niedersachsen (-),11.10. - 23.10.3),23.12. - 08.01.3),31.01. - 01.02.3),21.03. - 02.04.3),06.05. / 25.05. - 28.05.3),14.07. - 24.08.3)
Nordrhein-Westfalen (3),18.10. - 30.10.,24.12. - 07.01.,-,21.03. - 02.04.,-,07.07. - 19.08.
Rheinland-Pfalz (4),18.10. - 29.10.,22.12. - 07.01.,-,21.03. - 01.04.,-,25.07. - 02.09.
Saarland (1),11.10. - 23.10.,23.12. - 04.01.,07.02. + 08.02.,21.03. - 04.04.,06.05. + 27.05.,25.07. - 03.09.
Sachsen (2),11.10. - 23.10.,23.12. - 01.01.,07.02. - 19.02.,25.03. - 02.04.,-,18.07. - 26.08.
Sachsen-Anhalt (3),18.10. - 23-10.,22.12. - 31.12.,31.01. - 09.02.,21.03. - 01.04.,17.05. - 21.05.,14.07. - 24.08.
Schleswig-Holstein (5),04.10. - 16.10.2),23.12. - 05.01.,-,21.03. - 02.04.,06.05. - 07.05.,27.06. - 06.08.2)
Thüringen (2),11.10. - 23.10.,22.12. - 31.12.,07.02. - 12.02.,21.03. - 02.04.,14.05. - 17.05.,14.07. - 24.08.
