Land ,"Sommer 
1983 ","Herbst 
1983 ","Weihnachten 
1983/84 ","Ostern/Frühjahr 
1984 ","Himmelf./Pfingsten 
1984 "
Baden-Württemberg,21.07. – 03.09.,24.10. – 28.10.,27.12. – 10.01.,16.04.– 30.04.,12.06. – 15.06.
Bayern,28.07. – 12.09.,31.10. – 02.11.,23.12. – 09.01.,16.04. – 30.04.,12.06. – 23.06.
Berlin,16.06. – 30.07.,03.10. – 08.10.,23.12. – 07.01.,07.04. – 30.04.,09.06. – 12.06.
Bremen,16.06. – 30.07.,03.10. – 15.10.,23.12. – 07.01.,04.04. – 24.04.,12.06.
Hamburg,27.06. – 06.08.,03.10. – 15.10.,22.12. – 02.01.,12.03. – 31.03.,nan
Hessen,23.06. – 03.08.,03.10. – 13.10.,23.12. – 06.01.,16.04. – 04.05.,12.06.
Niedersachsen,16.06. – 30.07.,29.09. – 08.10.,23.12. – 07.01.,11.04. – 30.04.,09.06. – 12.06.
Nordrhein-Westfalen,07.07. – 20.08.,10.10. – 15.10.,23.12. – 07.01.,07.04. – 28.04.,nan
Rheinland-Pfalz,14.07. – 24.08.,29.10. – 04.11.,23.12. – 06.01.,09.04. – 28.04.,09.06. – 12.06.
Saarland,18.07. – 31.08.,31.10. – 05.11.,24.12. – 07.01.+,09.04. – 30.04.,nan
Schleswig-Holstein,23.06. – 03.08.,03.10. – 15.10.,23.12. – 07.01.,16.04. – 30.04.,nan
