Land ,"Ostern 
1957 ","Pfingsten 
1957 ","Sommer 
1957 ","Herbst 
1957 ","Weihnachten 
1957/58 "
Baden-Württ.,08.04. - 23.04.,08.06. - 11.06.,24.07. - 31.08.,14.10. - 19.10.,23.12. - 06.01.
Bayern,13.04. - 29.04.,08.06. - 12.06.,19.07. - 02.09.,--,--
Berlin,11.04. - 24.04.,08.06. - 15.06.,12.07. - 22.08.,30.09. - 05.10.,23.12. - 06.01.
Bremen,08.04. - 22.04.,08.06. - 12.06.,13.07. - 19.08.,17.10. - 28.10.,23.12. - 04.01.
Hamburg,05.04. - 23.04.,07.06. - 15.06.,04.07. - 07.08.,30.09. - 08.10.,23.12. - 04.01.
Hessen,12.04. - 30.04.,08.06. - 11.06.,19.07. - 26.08.,05.10. - 14.10.,21.12. - 02.01.
Niedersachsen,10.04. - 24.04.,08.06. - 11.06.,29.06. - 05.08.,28.09. - 07.10.,23.12. - 07.01.
Nordrhein-Westfalen,10.04. - 24.04.,07.06. - 17.06.,01.08. - 03.09.,23.10. - 28.10.,21.12. - 08.01.
Rheinland-Pfalz,13.04. - 29.04.,08.06. - 12.06.,25.07. - 03.09.,"6 Tage; nicht 
festgelegt",23.12. - 07.01.
Schleswig-Holstein,11.04. - 23.04.,08.06. - 13.06.,06.07. - 15.08.,05.10. - 16.10.,21.12. - 02.01.
