Land ,"Herbst 
1972 ","Weihnachten 
1972/73 ","Ostern 
1973 ","Pfingsten 
1973 ","Sommer 
1973 "
Baden-Württemberg,nan,23.12. - 10.01.,14.04. - 30.04.,09.06. - 13.06.,19.07. - 03.09.
Bayern,nan,21.12. – 08.01.,16.04. - 30.04.,12.06. - 23.06.,26.07. - 12.09.
Berlin,25.10. - 01.11.,23.12. – 06.01.,02.04. - 24.04.,08.06. - 12.06.,12.07. - 25.08.
Bremen,23.10. – 30.10.,23.12. – 09.01.,04.04. - 24.04.,12.06.,12.07. - 25.08.
Hamburg,16.10. – 21.10.,22.12. – 02.01.,19.03. - 07.04.,12.06.,09.07. - 18.08.
Hessen *),nan,21.12. - 09.01.,11.04. - 02.05.,09.06. - 12.06.,05.07. - 18.08.
Niedersachsen,28.10. – 04.11.,23.12. – 09.01.,02.04. - 24.04.,09.06. - 12.06.,12.07. - 22.08.
Nordrhein-Westfalen,09.10. – 14.10.,22.12. – 09.01.,02.04. - 24.04.,nan,15.06. - 28.07.
Rheinland-Pfalz,27.10. – 02.11.,23.12. – 08.01.,07.04. - 28.04.,09.06. - 12.06.,28.06. - 08.08.
Saarland,30.10. – 04.11.,23.12. – 10.01.,09.04. - 28.04.,nan,28.06. - 11.08.
Schleswig-Holstein,16.10. – 24.10.,22.12. – 06.01.,13.04. - 02.05.,09.06. - 13.06.,05.07. - 18.08.
