Land ,"Ostern 
1960 ","Pfingsten 
1960 ","Sommer 
1960 ","Herbst 
1960 ","Weihnachten 
1960/61 "
Baden-Württ.,11.04. - 25.04.,07.06. - 11.06.,28.07. - 07.09.,27.10. - 31.10.,24.12. - 05.01.
Bayern,24.04. - 25.04.,04.06. - 08.06.,14.07. - 30.08.,--,23.12. - 09.01.
Berlin,07.04. - 21.04.,04.06.,13.07. - 23.08.,01.10. - 10.10.,22.12. - 07.01.
Bremen,01.04. - 20.04.,04.06. - 13.06.,30.06. - 04.08.,01.10. - 13.10.,23.12. - 05.01.
Hamburg,16.03. - 31.03.,nan,nan,nan,nan
nan,außerdem schulfrei,03.06. - 07.06.,07.07. - 17.08.,01.10. - 08.10.,22.12. - 04.01.
nan,14.04. - 19.04.,nan,nan,nan,nan
Hessen,13.04. - 26.04.,04.06. - 07.06.,07.07. - 17.08.,03.10. - 10.10.,22.12. - 07.01.
Niedersachsen,07.04. - 20.04.,04.06. - 09.06.,30.06. - 10.08.,06.10. - 12.10.,23.12. - 07.01.
Nordrhein-Westfalen,07.04. - 20.04.,03.06. - 09.06.,21.07. - 31.08.,17.10. - 22.10.,23.12. - 07.01.
Rheinland-Pfalz,09.04. - 25.04.,04.06. - 07.06.,14.07. - 23.08.,24.10. - 31.10.,24.12. - 07.01.
Saarland,09.04. - 25.04.,04.06. - 11.06.,14.07. - 24.08.,31.10. - 05.11.,23.12. - 07.01.
Schleswig-Holstein,08.04. - 21.04.,03.06. - 07.06.,30.06. - 10.08.,01.10. - 10.10.,23.12. - 05.01.
