Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
1975;Hamburg-Fuhlsbüttel;10;53.64;11.7;14.7;19500101;19680710;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
1975;Hamburg-Fuhlsbüttel;10;53.64;11.7;10;19680711;19680711;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
1975;Hamburg-Fuhlsbüttel;10;53.64;13;10;19680712;19940731;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
1975;Hamburg-Fuhlsbüttel;10;53.64;13;10;19940801;19950904;Windsensor Classic 4.3303 (DWDSYN);Windmessung, elektr.;eor;
1975;Hamburg-Fuhlsbüttel;9.99;53.63;11;10;19950905;20080531;Windsensor Classic 4.3303 (DWDSYN);Windmessung, elektr.;eor;
1975;Hamburg-Fuhlsbüttel;9.99;53.63;10.65;10;20080601;20230117;Windsensor Classic 4.3303 (DWDSYN);Windmessung, elektr.;eor;
1975;Hamburg-Fuhlsbüttel;9.99;53.63;10.65;10;20230127;20240328;Windsensor Classic 4.3303 (DWDSYN);Windmessung, elektr.;eor;
generiert: 03.04.2024 --  Deutscher Wetterdienst  --
