ID,Jahr,Monatscode,Monat,Gastro_Id,Gastro_Description,Umsatz in millionen
75,1994,MONAT07,Juli,WZ08-561-01,Gaststättengewerbe,202.2
76,1994,MONAT07,Juli,WZ08-55-01,Gastgewerbe,160.4
77,1994,MONAT08,August,WZ08-55,Beherbergung,135.6
78,1994,MONAT08,August,WZ08-551,"Hotels, Gasthöfe und Pensionen",132.2
79,1994,MONAT08,August,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,179.2
80,1994,MONAT08,August,WZ08-553,Campingplätze,123.7
81,1994,MONAT08,August,WZ08-559,Sonstige Beherbergungsstätten,267.0
82,1994,MONAT08,August,WZ08-56,Gastronomie,178.8
83,1994,MONAT08,August,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",191.3
84,1994,MONAT08,August,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,88.9
85,1994,MONAT08,August,WZ08-563,Ausschank von Getränken,263.4
86,1994,MONAT08,August,WZ08-561-01,Gaststättengewerbe,201.4
87,1994,MONAT08,August,WZ08-55-01,Gastgewerbe,161.3
88,1994,MONAT09,September,WZ08-55,Beherbergung,155.6
89,1994,MONAT09,September,WZ08-551,"Hotels, Gasthöfe und Pensionen",155.6
90,1994,MONAT09,September,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,170.3
91,1994,MONAT09,September,WZ08-553,Campingplätze,63.6
92,1994,MONAT09,September,WZ08-559,Sonstige Beherbergungsstätten,222.5
93,1994,MONAT09,September,WZ08-56,Gastronomie,178.2
94,1994,MONAT09,September,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",185.3
95,1994,MONAT09,September,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.0
96,1994,MONAT09,September,WZ08-563,Ausschank von Getränken,276.9
97,1994,MONAT09,September,WZ08-561-01,Gaststättengewerbe,198.0
98,1994,MONAT09,September,WZ08-55-01,Gastgewerbe,169.2
99,1994,MONAT10,Oktober,WZ08-55,Beherbergung,146.0
100,1994,MONAT10,Oktober,WZ08-551,"Hotels, Gasthöfe und Pensionen",146.6
101,1994,MONAT10,Oktober,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,152.8
102,1994,MONAT10,Oktober,WZ08-553,Campingplätze,56.7
103,1994,MONAT10,Oktober,WZ08-559,Sonstige Beherbergungsstätten,187.8
104,1994,MONAT10,Oktober,WZ08-56,Gastronomie,176.7
105,1994,MONAT10,Oktober,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",185.1
106,1994,MONAT10,Oktober,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,98.1
107,1994,MONAT10,Oktober,WZ08-563,Ausschank von Getränken,266.7
108,1994,MONAT10,Oktober,WZ08-561-01,Gaststättengewerbe,196.4
109,1994,MONAT10,Oktober,WZ08-55-01,Gastgewerbe,164.4
110,1994,MONAT11,November,WZ08-55,Beherbergung,106.5
111,1994,MONAT11,November,WZ08-551,"Hotels, Gasthöfe und Pensionen",108.0
112,1994,MONAT11,November,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,95.3
113,1994,MONAT11,November,WZ08-553,Campingplätze,34.8
114,1994,MONAT11,November,WZ08-559,Sonstige Beherbergungsstätten,110.5
115,1994,MONAT11,November,WZ08-56,Gastronomie,164.4
116,1994,MONAT11,November,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",168.8
117,1994,MONAT11,November,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.3
118,1994,MONAT11,November,WZ08-563,Ausschank von Getränken,258.3
119,1994,MONAT11,November,WZ08-561-01,Gaststättengewerbe,181.4
120,1994,MONAT11,November,WZ08-55-01,Gastgewerbe,140.8
121,1994,MONAT12,Dezember,WZ08-55,Beherbergung,110.8
122,1994,MONAT12,Dezember,WZ08-551,"Hotels, Gasthöfe und Pensionen",112.1
123,1994,MONAT12,Dezember,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,101.6
124,1994,MONAT12,Dezember,WZ08-553,Campingplätze,32.5
125,1994,MONAT12,Dezember,WZ08-559,Sonstige Beherbergungsstätten,127.1
126,1994,MONAT12,Dezember,WZ08-56,Gastronomie,180.8
127,1994,MONAT12,Dezember,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",190.6
128,1994,MONAT12,Dezember,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.3
129,1994,MONAT12,Dezember,WZ08-563,Ausschank von Getränken,270.1
130,1994,MONAT12,Dezember,WZ08-561-01,Gaststättengewerbe,201.6
131,1994,MONAT12,Dezember,WZ08-55-01,Gastgewerbe,152.4
132,1995,MONAT01,Januar,WZ08-55,Beherbergung,92.2
133,1995,MONAT01,Januar,WZ08-551,"Hotels, Gasthöfe und Pensionen",91.6
134,1995,MONAT01,Januar,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,95.4
135,1995,MONAT01,Januar,WZ08-553,Campingplätze,88.4
136,1995,MONAT01,Januar,WZ08-559,Sonstige Beherbergungsstätten,126.0
137,1995,MONAT01,Januar,WZ08-56,Gastronomie,146.9
138,1995,MONAT01,Januar,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",150.4
139,1995,MONAT01,Januar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,91.9
140,1995,MONAT01,Januar,WZ08-563,Ausschank von Getränken,224.0
141,1995,MONAT01,Januar,WZ08-561-01,Gaststättengewerbe,160.7
142,1995,MONAT01,Januar,WZ08-55-01,Gastgewerbe,124.7
143,1995,MONAT02,Februar,WZ08-55,Beherbergung,96.6
144,1995,MONAT02,Februar,WZ08-551,"Hotels, Gasthöfe und Pensionen",96.8
