Land ,"Sommer 
1987 ","Herbst 
1987 ","Weihnachten 
1987/88 ","Winter 
1988 ","Ostern/Frühjahr 
1988 ","Himmelf./Pfingsten 
1988 "
Baden-Württemberg,02.07. - 15.08.,26.10. - 30.10.,24.12. - 05.01.,15.02. - 19.02.,28.03. - 08.04.,24.05. - 27.05.
Bayern,30.07. - 14.09.,02.11. - 03.11.,23.12. - 09.01.,nan,28.03. - 09.04.,24.05. - 04.06.
Berlin,09.07.- 22.08.,03.10. - 10.10.,23.12. - 06.01.,nan,19.03. - 09.04.,24.05.
Bremen,29.06. - 08.08.,05.10. - 10.10.,23.12. - 09.01.,nan,21.03. - 09.04.,-
Hamburg,18.06. - 01.08.,05.10. - 17.10.,21.12. - 02.01.,nan,Frühjahrsferien,15.02. - 16.02.
nan,nan,nan,nan,nan,21.03. - 09.04.,nan
Hessen,19.06. - 31.07.,05.10. - 09.10.,21.12. - 08.01.,nan,26.03. - 16.04.,21.05. - 24.05.
Niedersachsen,25.06. - 05.08.,01.10. - 10.10.,23.12. - 06.01.,nan,19.03. - 09.04.,21.05. - 24.05.
Nordrhein-Westfalen,16.07. - 31.08.,26.10. - 31.10.,23.12. - 06.01.,nan,19.03. - 09.04.,21.05. - 24.05.
Rheinland-Pfalz,23.07. - 02.09.,19.10. - 24.10.,23.12. - 09.01.,nan,28.03. - 15.04.,24.05.
Saarland,23.07. - 05.09.,26.10. - 31.10.,21.12. - 04.01. ***),nan,21.03. - 11.04.,-
Schleswig-Holstein,18.06. - 01.08.,05.10. - 17.10.,23.12. - 06.01.,nan,28.03. - 12.04.,-
