Land ,"Ostern 
1953 ","Pfingsten 
1953 ","Sommer 
1953 ","Herbst 
1953 ","Weihnachten 
1953/54 "
Baden-Württ.,30.03. - 14.04.,23.05. - 27.05.,27.07. - 31.08.,30.10. - 02.11.,24.12. - 06.01.
Bayern,28.03. - 13.04.,23.05. - 27.05.,15.07. - 02.09.,?,?
Berlin,01.04. - 14.04.,23.05. - 01.06.,03.07. - 10.08.,01.10. - 07.10.,23.12. - 06.01.
Bremen,26.03. - 11.04.,23.05. - 30.05.,18.07. - 23.08.,18.10. - 27.10.,23.12. - 06.01.
Hamburg,28.03. - 13.04.,22.05. - 01.06.,16.07. - 19.08.,07.10. - 15.10.,22.12. - 03.01.
Hessen,31.03. - 15.04.,22.05. - 02.06.,03.07. - 06.08.,30.09. - 13.10.,22.12. - ?
Nordrhein-Westfalen,31.03. - 16.04.,22.05. - 02.06.,30.07. - 03.09.,28.10. - 04.11.,23.12. - 12.01.
Niedersachsen,31.03. - 14.04.,22.05. - 02.06.,01.07. - 06.08.,24.09. - 07.10.,23.12. - 08.01.
Rheinland-Pfalz,27.03. - 14.04.,22.05. - 02.06.,28.07. - 02.09.,29.10. - 06.11.,22.12. - 08.01.
Schleswig-Holstein,28.03. - 13.04.,22.05. - 28.05.,04.07. - 10.08.,03.10. - 12.10.,23.12. - 04.01.
