Land ,"Ostern 
1954 ","Pfingsten 
1954 ","Sommer 
1954 ","Herbst 
1954 ","Weihnachten 
1954/55 "
Baden-Württ.,12.04. - 26.04.,05.06. - 09.06.,02.08. - 04.09.,1.10. - 16.10.,24.12. - 08.01.
Bayern,10.04. - 26.04.,05.06. - 09.06.,14.07. - 31.08.,--,--
Berlin,07.04. - 20.04.,05.06. - 14.06.,09.07. - 16.08.,01.10. - 07.10.,23.12. - 06.01.
Bremen,?,?,?,?,?
Hamburg,07.04. - 22.04.,04.06. - 13.06.,15.07. - 18.08.,01.10. - 12.10.,23.12. - 03.01.
Hessen,13.04. - 27.04.,04.06. - 15.06.,15.07. - 17.08.,13.10. - 28.10.,22.12. - 10.01.
Nordrhein-Westfalen,10.04. - 27.04.,04.06. - 15.06.,30.07. - 08.09.,29.10. - 04.11.,22.12. - 07.01.
Niedersachsen,06.04. - 21.04.,04.06. - 15.06.,30.06. - 05.08.,30.09. - 12.10.,22.12. - 07.01.
Rheinland-Pfalz,09.04. - 27.04.,04.06. - 10.06.,27.07.- 01.09.,29.10. - 09.11.,22.12. - 10.01.
Schleswig-Holstein,07.04. - 21.04.,04.06. - 15.06.,03.07. - 10.08.,01.10. - 12.10.,22.12. - 07.01.
