Land ,"Sommer 
1979 ","Herbst 
1979 ","Weihnachten 
1979/80 ","Ostern/Frühjahr 
1980 ","Himmelf./Pfingsten 
1980 "
Baden-Württemberg,26.07. – 05.09,29.10. – 30.10.,22.12. – 11.01.,29.03 – 11.04.,24.05. – 31.05.
Bayern,01.08. – 17.09.,31.10. – 02.11.,21.12. – 08.01.,noch nicht,festgelegt
Berlin,19.07. – 01.09.,26.10. – 03.11,24.12. – 05.01.,24.03. – 12.04.,24.05. – 27.05.
Bremen,19.07. – 01.09.,29.10. – 03.11.,24.12. – 07.01.,31.03. – 19.04.,27.05. – 28.05.
Hamburg,16.07. – 25.08.,22.10. – 27.10.,24.12. – 05.01.,03.03. – 22.03.*,16.05. – 24.05.
Hessen *,12.07. – 22.08.,22.10. – 02.11.*,22.12. – 04.01.*,29.03. – 19.04.,24.05. – 27.05.
Niedersachsen,19.07. – 29.08.,24.10. – 03.11.,22.12. – 05.01.,21.03. – 14.04.,24.05. – 27.05.
Nordrhein-Westfalen,21.06. – 04.08.,05.10. – 13.10.,21.12. – 05.01.,22.03. – 12.04.,nan
Rheinland-Pfalz,05.07. – 15.08.,25.10. – 31.10.,22.12. – 07.01.,31.03. – 19.04.,24.05 – 27.05
Saarland,05.07. – 18.08.,26.10. – 03.11.,24.12. – 05.01.+,24.03. – 14.04.,nan
Schleswig-Holstein,12.07. –22.08.,15.10. – 27.10.,22.12. – 05.01.,27.03. – 12.04.,24.05.
