Land ,"Herbst 
1969 ","Weihnachten 
1969/70 ","Ostern 
1970 ","Pfingsten 
1970 ","Sommer 
1970 "
Baden-Württemberg,nan,24.12. - 13.01.,20.03. – 06.04.,16.05. - 20.05.,24.07. – 08.09.
Bayern,nan,22.12. – 07.01.,20.03. – 06.04.,16.05. - 20.05.,24.07. – 08.09.
Berlin,24.10. - 01.11.,22.12. – 03.01.,23.03. – 11.04.,15.05. - 19.05.,11.07. – 22.08.
Bremen,01.10. – 11.10.,22.12. – 06.01.,23.03. – 11.04.,nan,26.06. – 08.08.
Hamburg,06.10. – 11.10.,22.12. – 03.01.,16.03. – 31.03.,14.05. - 23.05.,11.07. – 22.08.
Hessen,nan,22.12. - 10.01.,23.03. – 11.04.,16.05. - 19.05.,16.07. – 27.08.
Niedersachsen,29.09. – 11.10.,22.12. – 06.01.,19.03. – 04.04.,16.05. - 20.05.,25.06. – 05.08.
Nordrhein-Westfalen,06.10. – 11.10.,22.12. – 08.01.,23.03. – 11.04.,16.05. - 19.05.,23.07. – 05.09.
Rheinland-Pfalz,29.10. – 03.11.,22.12. – 06.01.,14.03. – 06.04.,16.05. - 19.05.,16.07. – 26.08.
Saarland,29.10. – 03.11.,22.12. – 07.01.,13.03. – 07.04.,16.05. - 19.05.,10.07. – 20.08.
Schleswig-Holstein,06.10. – 11.10.,22.12. – 07.01.,23.03. – 11.04.,16.05. - 19.05.,10.07. – 20.08.
