Land ,"Sommer 
1982 ","Herbst 
1982 ","Weihnachten 
1982/83 ","Ostern/Frühjahr 
1983 ","Himmelf./Pfingsten 
1983 "
Baden-Württemberg,01.07. - 14.08.,25.10. - 30.10.,23.12. - 08.01.,28.03.- 08.04.,24.05. - 27.05.
Bayern,29.07. - 13.09.,02.11.,23.12. - 11.01.,28.03. - 09.04.,24.05. - 04.06.
Berlin,24.06. - 07.08.,04.10. - 11.10.,23.12. - 08.01.,21.03. - 09.04.,21.05. - 24.05.
Bremen,24.06. - 07.08.,07.10. - 16.10.,23.12. - 05.01.,18.03. - 05.04.,24.05.
Hamburg,18.06. - 31.07.,04.10. - 23.10.,23.12. - 01.01.,18.03. - 05.04.,nan
Hessen,18.06. - 31.07.,04.10. - 09.10.,23.12. - 08.01.,28.03 - 16.04.,24.05.
Niedersachsen,24.06. - 04.08.,02.10. - 09.10.,22.12. - 08.01.,19.03. - 09.04.,21.05. - 24.05.
Nordrhein-Westfalen,15.07. - 28.08.,09.10. - 16.10.,23.12. - 05.01.,19.03. - 09.04.,21.05. - 24.05.
Rheinland-Pfalz,22.07. - 01.09.,30.10. - 06.11.,23.12. - 06.01.,28.03. - 16.04.,21.05. - 24.05.
Saarland,22.07. - 04.09.,02.11. - 06.11.,24.12. - 08.01.+,21.03. - 11.04.,nan
Schleswig-Holstein,18.06. - 31.07.,04.10. - 16.10.,22.12. - 05.01.,28.03. - 12.04.,nan
