"Land
(in Klammern Zahl der
beweglichen Ferientage)","Herbst
2013","Weihnachten
2013/2014","Winter
2014","Ostern/Frühjahr
2014","Himmelfahrt/Pfingsten
2014","Sommer
2014"
Baden-Württemberg (5),28.10. – 30.10.,23.12. – 04.01.,-,14.04. – 25.04.,10.06. – 21.06.,31.07. - 13.09.
Bayern (),28.10. – 31.10.,23.12. – 04.01.,-,"03.03. – 07.03.
14.04. – 26.04.",10.06.-21.06.,30.07. - 15.09.
Berlin (-),30.09. - 12.10.,23.12. - 03.01.,03.02. - 08.02.,14.04. - 26.04.,02.05. und 30.05.,09./10.07. - 22.08.
Brandenburg (1),"30.09. - 12.10.
und 01.11.",23.12. - 03.01.,03.02. - 08.02.,16.04. - 26.04.,02.05. und 30.05.,10.07. - 22.08.
Bremen (2),04.10. – 18.10.,23.12. – 03.01.,30.01. – 31.01.,03.04. – 22.04.,10.06.,31.07. - 10.09.
Hamburg (-),30.09. – 11.10.,19.12. – 03.01.,31.01.,03.03. – 14.03.,"28.04. – 02.05.
und 30.05.",10.07. - 20.08.
Hessen (3),14.10. – 26.10.,23.12. – 11.01.,-,14.04. – 26.04.,-,28.07. - 05.09.
Mecklenburg-Vorpommern (3),14.10. – 19.10.,23.12. – 03.01.,03.02. – 15.02.,14.04. – 23.04.,06.06. – 10.06.,14.07. - 23.08.
Niedersachsen (-),04.10. – 18.10.,23.12 – 03.01.,30.01. – 31.01.,03.04. – 22.04.,02.05. / 30.05. / 10.06.,31.07. - 10.09.
Nordrhein-Westfalen (4),21.10. – 02.11.,23.12. – 07.01.,-,14.04. – 26.04.,10.06.,07.07. - 19.08.
Rheinland-Pfalz (4),04.10. – 18.10.,23.12. – 07.01.,-,11.04. – 25.04.,nan,28.07. - 05.09.
Saarland (3),21.10. – 02.11.,20.12. – 04.01.,03.03. – 08.03.,14.04. – 26.04.,-,28.07. - 06.09.
Sachsen (2),21.10. – 01.11.,21.12. – 03.01.,17.02. – 01.03.,18.04. – 26.04.,30.05.,21.07. - 29.08.
Sachsen-Anhalt (-),21.10. – 25.10.,21.12. – 03.01.,01.02. – 12.02.,14.04. – 17.04.,30.05. – 07.06.,21.07. - 03.09.
Schleswig-Holstein (3) 2,04.10. – 18.10.,23.12. – 06.01.,-,16.04. – 02.05.,30.05.,14.07. - 23.08.
Thüringen (3),21.10. - 02.11.,23.12. – 04.01,17.02. – 22.02.,19.04. – 02.05.,30.05.,21.07. - 29.08.
