Land ,"Sommer 
1981 ","Herbst 
1981 ","Weihnachten 
1981/82 ","Ostern/Frühjahr 
1982 ","Himmelf./Pfingsten 
1982 "
Baden-Württemberg,09.07. - 22.08.,26.10. - 30.10.,23.12. - 12.01.,05.04 - 16.04.,01.06. - 04.06.
Bayern,30.07. - 14.09.,30.10. - 02.11.,23.12. - 11.01.,05.04. - 17.04.,01.06. - 12.06.
Berlin,02.07. - 15.08.,24.10. - 31.10.,23.12. - 06.01.,29.03. - 17.04.,29.05. - 01.06.
Bremen,02.07. - 15.08.,15.10. - 24.10.,23.12. - 05.01.,25.03. - 14.04.,01.06.
Hamburg,29.06. - 08.08.,12.10. - 24.10.,21.12. - 02.01.,11.03. - 27.03.*,nan
Hessen,25.06. - 05.08.,10.10. - 20.10.,23.12. - 09.01.,27.03 - 17.04.,01.06.
Niedersachsen,02.07. - 12.08.,09.10. - 17.10.,23.12. - 09.01.,27.03. - 17.04.,29.05. - 01.06.
Nordrhein-Westfalen,23.07. - 05.09.,17.10. - 24.10.,23.12. - 06.01.,27.03. - 17.04.,29.05. - 01.06.
Rheinland-Pfalz,19.06. - 01.08.,12.10. - 17.10.,24.12. - 06.01.,29.03. - 17.04.,29.05. - 01.06.
Saarland,19.06. - 01.08.,26.10. - 02.11.,21.12. - 02.01.+,29.03. - 19.04.,nan
Schleswig-Holstein,25.06. - 05.08.,05.10. - 17.10.,23.12. - 09.01.,02.04. - 17.04.,nan
