"Land
(in Klammern Zahl der
beweglichen Ferientage)","Herbst
2012","Weihnachten
2012/2013","Winter
2013","Ostern/Frühjahr
2013","Himmelfahrt/Pfingsten
2013","Sommer
2013"
Baden-Württemberg (5),29.10. - 02.11.,24.12. - 05.01.,-,25.03. - 05.04.,21.05. - 01.06.,25.07. - 07.09.
Bayern (),29.10 - 03.11.,24.12. - 05.01.,11.02. - 15.02.,25.03. - 06.04.,21.05. - 31.05.,31.07. - 11.09.
Berlin (-),01.10. - 13.10.,24.12. - 04.01.,04.02. - 09.02.,25.03. - 06.04.,10.05. und 21.05.,19./20.06. - 02.08.
Brandenburg (3),01.10. - 13.10.,24.12. - 04.01.,04.02. - 09.02.,27.03. - 06.04.,10.05.,20.06. - 02.08.
Bremen (1),22.10. - 03.11.,24.12. - 05.01.,31.01. - 01.02.,16.03. - 02.04.,21.05.,27.06. - 07.08.
Hamburg (-),01.10. - 12.10.,21.12. - 04.01.,01.02.,04.03. - 15.03.,02.05. - 10.05.,20.06. - 31.07.
Hessen (3),15.10. - 27.10.,24.12. - 12.01.,-,25.03. - 06.04.,-,08.07. - 16.08.
Mecklenburg-Vorpommern (3) 2,01.10. - 05.10.,21.12. - 04.01.,04.02. - 15.02.,25.03. - 03.04.,17.05. - 21.05.,22.06. - 03.08.
Niedersachsen (-),22.10. - 03.11.,24.12. - 05.01.,31.01. - 01.02.,16.03. - 02.04.,10.05. / 21.05.,27.06. - 07.08.
Nordrhein-Westfalen (4),08.10. - 20.10.,21.12. - 04.01.,-,25.03. - 06.04.,21.05.,22.07. - 03.09.
Rheinland-Pfalz (4),01.10. - 12.10.,20.12. - 04.01.,-,20.03. - 05.04.,-,08.07. - 16.08.
Saarland (2),22.10. - 03.11.,24.12. - 05.01.,11.02. - 16.02.,25.03. - 06.04.,-,08.07. - 17.08.
Sachsen (2),22.10. - 02.11.,22.12. - 02.01.,04.02. - 15.02.,29.03. - 06.04.,"10.05. und
18.05. - 22.05.",15.07. - 23.08.
Sachsen-Anhalt (-),29.10. - 02.11.,19.12. - 04.01.,01.02 - 08.02.,25.03. - 30.03.,10.05. - 18.05.,15.07. - 28.08.
Schleswig-Holstein (3) 3,04.10.- 19.10.,24.12. - 05.01.,-,25.03. - 09.04.,10.05.,24.06. - 03.08.
Thüringen (3),22.10.-03.11.,24.12.-05.01.,18.02.-23.02.,25.03.-06.04.,10.05.,15.07. - 23.08.
