Land ,"Herbst 
1970 ","Weihnachten 
1970/71 ","Ostern 
1971 ","Pfingsten 
1971 ","Sommer 
1971 "
Baden-Württemberg,nan,24.12. - 13.01.,03.04. - 19.04.,29.05. - 02.06.,29.07. - 13.09.
Bayern,nan,23.12. - 07.01.,03.04. - 19.04.,29.05. - 07.06.,22.07. - 06.09.
Berlin,26.10. - 02.11.,21.12. - 06.01.,29.03. - 17.04.,28.05. - 02.06.,10.07. - 21.08.
Bremen,05.10. - 17.10.,21.12. - 06.01.,01.04. - 17.04.,01.06. - 05.06.,23.07. - 04.09.
Hamburg,12.10. - 17.10.,21.12. - 06.01.,15.03. - 31.03.,28.05. - 05.06.,12.07. - 21.08.
Hessen,nan,21.12. - 09.01.,29.03. - 17.04.,29.05. - 01.06.,15.07. - 25.08.
Niedersachsen,28.09. - 10.10.,21.12. - 09.01.,25.03. - 13.04.,29.05. - 05.06.,29.07. - 08.09.
Nordrhein-Westfalen,19.10. - 24.10.,23.12. - 09.01.,29.03. - 17.04.,29.05. - 01.06.,01.07. - 14.08.
Rheinland-Pfalz,28.10. - 02.11.,23.12. - 06.01.,27.03. - 19.04.,29.05. - 01.06.,15.07. - 25.08.
Saarland,29.10. - 03.11.,23.12. - 09.01.,05.04. - 24.04.,29.05. - 01.06.,22.07. - 01.09.
Schleswig-Holstein,03.10. - 12.10.,21.12. - 05.01.,29.03. - 17.04.,29.05. - 01.06.,08.07. - 21.08.
