Land ,"Sommer 
1989 ","Herbst 
1989 ","Weihnachten 
1989/90 ","Winter 
1990 ","Ostern/Frühjahr 
1990 ","Himmelf./Pfingsten 
1990 "
Baden-Württemberg,06.07. – 19.08.,30.10. – 04.11.,27.12. – 05.01.,26.02. - 03.03.,17.04. – 21.04.5),28.05. - 08.06.
Bayern,27.07. – 11.09.,30.10. - 03.11.,22.12. – 05.01. 1),nan,09.04. - 21.04.,05.06. - 16.06.
Berlin,20.07. - 02.09.,28.10. – 04.11.,23.12. – 06.01.,27.01. - 10.02.,07.04. - 21.04.,02.06. - 05.06.
Bremen,20.07. - 30.08.,30.10. – 04.11.,22.12. – 13.01.,nan,29.03. - 16.04.,-
Hamburg,17.07. - 26.08.,16.10. – 28.10.,23.12. – 06.01.,nan,"Frühjahrsferien 
05.03. – 17.03. 3)",21.05. - 26.05.
Hessen,17.07. - 26.08.,16.10. – 28.10.,23.12. – 13.01.,nan,02.04. – 20.04.,05.06.
Niedersachsen,20.07. – 30.08.,27.10. - 04.11.,22.12. – 06.01.,nan,24.03. - 17.04.,02.06. - 05.06.
Nordrhein-Westfalen,22.06. – 05.08. 4),09.10. – 14.10.,22.12. – 06.01.,nan,02.04. - 21.04.,02.06. - 05.06.
Rheinland-Pfalz,29.06. - 09.08.,16.10. – 20.10.,23.12. – 11.01.,nan,02.04. - 20.04.,05.06.
Saarland,29.06. - 14.08.,09.10. – 21.10.,22.12. – 06.01. 6),nan,09.04. - 23.04.,-
Schleswig-Holstein,13.07. - 26.08.,16.10. – 28.10.,22.12. – 06.01.,nan,09.04. – 21.04.,-
