Land ,"Sommer 
1978 ","Herbst 
1978 ","Weihnachten 
1978/79 ","Ostern/Frühjahr 
1979 ","Himmelf./Pfingsten 
1979 "
Baden-Württemberg,15.06. - 29.07.*,23.10. - 30.10.,23.12. - 12.01.,07.04 - 21.04.,05.06. - 09.06.
Bayern,27.07. - 13.09.,31.10. - 03.11.,23.12. - 08.01.,09.04. - 21.04.,05.06. - 16.06.
Berlin,27.07. - 09.09.,*,23.12. - 06.01.,02.04. - 21.04.,02.06. - 05.06.
Bremen,27.07. - 09.09.,30.10. - 04.11.,23.12. - 08.01.,02.04. - 21.04.,05.06. - 06.06.
Hamburg,24.07. - 02.09.,23.10. - 28.10.,25.12. - 06.01.,05.03. - 24.03.*,21.05. - 26.05.
Hessen *,20.07. - 01.09.,30.10. - 03.11.,22.12. - 10.01.,31.03. - 21.04.,05.06.
Niedersachsen,27.07. - 06.09,28.10. - 06.11.,22.12. - 06.01.,02.04. - 21.04.,02.06. - 05.06.
Nordrhein-Westfalen,29.06. - 12.08.,06.10. - 14.10.,22.12. - 06.01.,31.03. - 21.04.,nan
Rheinland-Pfalz,13.07. - 23.08.,25.10. - 31.10.,23.12. - 06.01.,09.04. - 30.04.,02.06. - 05.06.
Saarland,21.07. - 02.09.,30.10. - 04.11.,22.12. - 06.01.,02.04. - 23.04.,nan
Schleswig-Holstein,20.07. -30.08.,16.10. - 28.10.,22.12. - 04.01.,02.04. - 23.04.,02.06.
