Land*,"Herbst
2018","Weihnachten
2018/2019","Winter
2019","Ostern/Frühjahr
2019","Himmelfahrt/Pfingsten
2019","Sommer
2019"
Baden-Württemberg (5),29.10. - 02.11.,24.12. - 05.01.,--,15.04. - 27.04.,11.06. - 21.06.,29.07. - 10.09.
Bayern,29.10. - 02.11.,22.12. - 05.01.,--,"04.03. - 08.03.
15.04. - 27.04.",11.06. - 21.06.,29.07. - 09.09.
Berlin,22.10. - 02.11.,22.12. - 05.01.,04.02. - 09.02.,15.04. - 26.04.,31.05./11.06.,20.06. - 02.08.
Brandenburg (2),22.10. - 02.11.,22.12. - 05.01.,04.02. - 09.02.,15.04. - 26.04.,--,20.06. - 03.08.
Bremen,01.10. - 13.10.,24.12. - 04.01.,31.01. - 01.02.,06.04. - 23.04.,31.05./11.06.,04.07. - 14.08.
Hamburg,01.10. - 12.10.,20.12. - 04.01.,01.02.,04.03. - 15.03.,13.05. - 17.05. / 31.05.,27.06. - 07.08.
Hessen (4),01.10.-13.10.,24.12. - 12.01.,--,15.04. - 27.04.,--,01.07. - 09.08.
Mecklenburg-Vorpommern,"08.10. - 13.10.
01.11. - 02.11.",24.12. - 05.01.,04.02. - 15.02.,15.04. - 24.04.,31.05./07.06. - 11.06.,01.07. - 10.08.
Niedersachsen,01.10. - 12.10.,24.12. - 04.01.,31.01. - 01.02.,08.04. - 23.04.,31.05./11.06.,04.07. - 14.08.
Nordrhein-Westfalen (4),15.10. - 27.10.,21.12. - 04.01.,--,15.04. - 27.04.,11.06.,15.07. - 27.08.
Rheinland-Pfalz (6),01.10. - 12.10.,20.12.- 04.01.,25.02. - 01.03.,23.04. - 30.04.,--,01.07. - 09.08.
Saarland (3),01.10. - 12.10.,20.12. - 04.01.,25.02. - 05.03.,17.04. - 26.04,--,01.07. - 09.08.
Sachsen (1),08.10. - 20.10.,22.12. - 04.01.,18.02. - 02.03.,19.04. - 26.04.,31.05.,08.07. - 16.08.
Sachsen-Anhalt (1),01.10. - 12.10.,19.12. - 04.01.,11.02. - 15.02.,18.04. - 30.04.,31.05. - 01.06.,04.07. - 14.08.
Schleswig-Holstein (1) 2,01.10. - 19.10.,21.12. - 04.01.,--,04.04. - 18.04.,31.05.,01.07. - 10.08.
Thüringen (2),01.10. - 13.10.,21.12. - 04.01.,11.02. - 15.02.,15.04. - 27.04.,31.05.,08.07. - 17.08.
