Land 2) ,"Sommer 
1999 ","Herbst 
1999 ","Weihnachten 
1999/2000 ","Winter 
2000 ","Ostern/Frühjahr 
2000 ","Himmelf./Pfingsten 
2000 "
Baden-Württemberg (5),29.07. - 11.09.,02.11. - 06.11.,23.12. - 08.01.,---,25.04. - 29.04.,02.06. - 13.06.
Bayern (2),29.07. - 13.09.,02.11. - 05.11.,24.12. - 05.01.,---,17.04. - 29.04.,13.06. - 24.06.
Berlin (-),15.07. - 28.08.,16.10. - 23.10.,23.12. - 31.12.,29.01. - 09.02.,20.04. - 06.05.,02.06.3)/10.06. - 13.06.
Brandenburg (3),15.07. - 28.08.,16.10. - 23.10.,24.12. - 31.12.,31.01. - 12.02.,25.04. - 04.05.,---
Bremen (1),22.07. - 04.09.,25.10. - 30.10.,23.12. - 08.01.,---,03.04. - 25.04.,---
Hamburg (-),15.07. - 25.08.,18.10. - 30.10.,23.12. - 05.01.,---,06.03. - 18.03.,29.05. - 03.06.
Hessen (3),01.07. - 13.08.,04.10. - 16.10.,24.12. - 08.01.,---,10.04. - 20.04.,---
Mecklenburg-Vorpommern (3),15.07. - 25.08.,18.10. - 23.10.,22.12. - 31.12.,07.02. - 19.02.,15.04. - 25.04.,09.06. - 13.06.
Niedersachsen (1),22.07. - 01.09.,18.10. - 01.11.,23.12. - 08.01.,---,14.04. - 29.04.,02.06.3) / 13.06.3)
Nordrhein-Westfalen (4),17.06. - 31.07.,04.10. - 15.10.,23.12. - 07.01.,---,17.04. - 29.04.,---
Rheinland-Pfalz (4),01.07. - 13.08.,04.10. - 15.10.,23.12. - 05.01.,---,17.04. - 28.04.,---
Saarland (-),01.07. - 11.08.,04.10. - 16.10.,22.12. - 05.01.,3),14.04. - 29.04.,---
Sachsen (2),22.07. - 01.09.,18.10. - 30.10.,23.12. - 02.01.,14.02. - 26.02.,20.04. - 28.04.,10.06. - 13.06.
Sachsen-Anhalt (1),22.07. - 01.09.,25.10. - 30.10.,24.12. - 08.01.,17.02. - 26.02.,17.04. - 20.04.,02.06. - 10.06.
Schleswig-Holstein (1),15.07. - 25.08. 4),18.10. - 30.10. 4),23.12. - 08.01.,---,08.04. - 25.04.,---
Thüringen (2),22.07. - 01.09.,25.10. - 30.10.,20.12. - 05.01.,07.02. - 12.02.,17.04. - 29.04.,10.06. - 13.06.
