Land ,"Ostern bzw. 
Frühjahr 
1963 ","Pfingsten 
1963 ","Sommer 
1963 ","Herbst 
1963 ","Weihnachten 
1963/64 "
Baden-Württ.*),08.04. - 22.04.,04.06. - 08.06.,29.07. - 14.09.,28.10. - 02.1.,23.12. - 04.01.
Bayern,06.04. - 22.04.,01.06. - 09.06.,18.07. - 02.09.,30.10. - 02.1.,21.12. - 07.01.
Berlin,01.04. - 17.04.,01.06. - 08.06.,11.07. - 21.08.,01.10. - 08.10.,23.12. - 07.01.
Bremen,01.04. - 17.04.,01.06. - 08.06.,11.07. - 19.08.,03.10. - 12.10.,23.12. - 07.01.
Hamburg,16.03. - 02.04.,01.06. - 08.06.,04.07. - 14.08.,30.09. - 05.10.,23.12. - 06.01.
nan,12.04. - 16.04.,nan,nan,nan,nan
Hessen,01.04. - 17.04.,01.06. - 08.06.,10.07 - 20.08.,30.09. - 05.10.,21.12. - 07.01.
Niedersachsen,01.04. - 16.04.,01.06. - 08.06.,04.07. - 14.08.,04.10. - 14.10.,23.12. - 06.01.
Nordrhein-Westfalen,03.04. - 16.04.,31.05. - 10.06.,10.07. - 04.09.,28.10. - 02.11.,20.12. - 06.01.
Rheinland-Pfalz,06.04. - 22.04.,01.06. - 08.06.,18.07. - 28.08.,14.10. - 22.10.,23.12. - 06.01.
Saarland,08.04. - 20.04.,01.06. - 08.06.,18.07. - 02.09.,30.10. - 02.11.,21.12. - 08.01.
Schleswig-Holstein,01.04. - 16.04.,01.06. - 08.06.,04.07. - 14.08.,27.09. - 08.10.,23.12. - 04.01.
