Land 2) ,"Sommer 
2000 ","Herbst 
2000 ","Weihnachten 
2000/2001 ","Winter 
2001 ","Ostern/Frühjahr 
2001 ","Himmelf./Pfingsten 
2001 "
Baden-Württemberg (5),27.07. - 09.09.,02.11. - 03.11.,23.12. - 05.01.,nan,09.04. - 20.04.,28.05. - 09.06.
Bayern (2),27.07. - 11.09.,30.10. - 04.11.,27.12. - 08.01.,26.02. 3),09.04. - 21.04.,05.06. - 16.06.
Berlin (-),20.07. - 02.09.,28.10. - 04.11.,23.12. - 02.01.,03.02. - 17.02.,14.04. - 30.04.,25.05. 3)
Brandenburg (3),20.07. - 02.09.,30.10. - 04.11.,23.12. - 02.01.,05.02. - 16.02.,17.04. - 30.04.,nan
Bremen (2),13.07. - 26.08.,23.10. - 01.11.,22.12. - 06.01.,nan,26.03. - 17.04.,nan
Hamburg (-),20.07. - 30.08.,02.10.3)/16.10. - 28.10.,21.12. - 02.01.,nan,05.03. - 17.03.,30.04.3)/21.05. - 26.05.
Hessen (3),23.06. - 04.08.,02.10. - 14.10.,27.12. - 13.01.,nan,09.04. - 20.04.,---
Mecklenburg-Vorpommern (3),20.07. - 30.08.,23.10. - 28.10.,20.12. - 02.01.,05.02. - 16.02.,09.04. - 18.04.,01.06. - 05.06.
Niedersachsen (-),13.07. - 23.08.,02.10.3)/19.10. - 01.11.,22.12. - 06.01.,29. + 30.01.,02.04. - 17.04.,30.04.3)/25.05.3)/05.06.3)
Nordrhein-Westfalen (3),29.06. - 12.08.,02.10. - 14.10.,22.12. - 06.01.,nan,09.04. - 21.04.,nan
Rheinland-Pfalz (4),23.06. - 04.08.,02.10. - 13.10.,22.12. - 05.01.,nan,05.04. - 20.04.,nan
Saarland (-),22.06. - 02.08.,02.10. - 14.10.,23.12. - 06.01.,3),09.04. - 28.04.,25.05.3)
Sachsen (2),13.07. - 23.08.,16.10. - 27.10.,22.12. - 02.01.,12.02. - 23.02.,12.04. - 21.04.,02.06. - 05.06.
Sachsen-Anhalt (1),13.07. - 23.08.,02.10.3)/23.10. - 30.10.,27.12. - 02.01.,12.02. - 24.02.,17.04. - 30.04.,25.05.3)
Schleswig-Holstein (3),20.07. - 02.09.4),23.10.-04.11.4),27.12. - 06.01.,nan,09.04. - 24.04.,nan
Thüringen (3),13.07. - 23.08.,16.10. - 21.10.,22.12. - 06.01.,05.02. - 10.02.,09.04. - 21.04.,01.06. - 05.06.
