Land 2) ,"Sommer 
1997 ","Herbst 
1997 ","Weihnachten 
1997/98 ","Winter 
1998 ","Ostern/Frühjahr 
1998 ","Himmelf./Pfingsten 
1998 "
Baden-Württemberg (5),31.07.-13.09.,27.10.-30.10.,22.12.-05.01.,nan,14.04.-18.04.,22.05.-05.06.
Bayern (2),31.07.-15.09.,27.10.-31.10.,23.12.-05.01.,23.02. 3),06.04.-18.04.,02.06.-13.06.
Berlin (-),19.06.-02.08.,03.10.-18.10.,24.12.-03.01.,21.02.-28.02.,04.04.-25.04.,22.05. 3)
Brandenburg (3),19.06.-02.08.,06.10.-18.10.,24.12.-03.01.,29.01.-06.02.,14.04.-17.04.,02.06.-03.06.
Bremen (1),17.07.-30.08.,27.10.-01.11.,22.12.-06.01.,nan,30.03.-18.04.,02.06.-06.06.
Hamburg (-),26.06.-06.08.,06.10.-18.10.,22.12.-03.01.,nan,09.03.-21.03.,18.05.-23.05.
Hessen (4),24.07.-05.09.,20.10.-25.10.,22.12.-06.01.,nan,30.03.-18.04.,nan
Mecklenburg-Vorpommern (3),26.06.-06.08.,04.10.-14.10.,22.12.-02.01.,02.02.-11.02.,06.04.-15.04.,29.05.-02.06.
Niedersachsen (2),17.07.-27.08.,20.10.-01.11.,22.12.-06.01.,nan,02.04.-18.04.,22.-23.05./02.06.
Nordrhein-Westfalen (4),03.07.-16.08.,13.10.-17.10.,23.12.-06.01.,nan,30.03.-18.04.,02.06.
Rheinland-Pfalz (4),24.07.-05.09.,20.10.-31.10.,22.12.-05.01.,nan,02.04.-17.04.,nan
Saarland (-),24.07.-03.09.,20.10.-31.10.,22.12.-06.01.,nan,02.04.-20.04.,nan
Sachsen (3),17.07.-27.08.,16.10.-24.10.,22.12.-03.01.,16.02.-24.02.,09.04.-17.04.,28.05.-03.06.
Sachsen-Anhalt (1),17.07.-27.08.,25.10.-01.11.,22.12.-05.01.,09.02.-21.02.,14.04.-17.04.,22.05. 3)/29.05.-05.06.
Schleswig-Holstein (1),19.06.-02.08. 4),06.10.-18.10. 4),22.12.-06.01.,nan,30.03.-14.04.,nan
Thüringen (3),17.07.-27.08.,20.10.-25.10.,22.12.-07.01.,09.02.-14.02.,06.04.-18.04.,30.05.-02.06.
