Land ,"Sommer 
1974 ","Herbst 
1974 ","Weihnachten 
1974/75 ","Ostern/Frühjahr 
1975 ","Himmelf./Pfingsten 
1975 "
Baden-Württemberg,11.07. – 24.08.,28.10. – 02.11.,23.12. – 11.01.,22.03. – 07.04.,17.05. – 20.05.
Bayern,31.07. – 16.09.,31.10.,23.12. – 11.01.,24.03. – 05.04.,20.05. – 31.05.
Berlin,04.07. – 17.08.,28.10. – 02.11.,23.12. – 06.01.,10.03. – 01.04.,17.05. – 20.05.
Bremen,04.07. – 17.08.,07.10. – 12.10.,23.12. – 07.01.,10.03. – 01.04.,20.05.
Hamburg,01.07. – 10.08.,07.10. – 19.10.,23.12. – 04.01.,10.03. – 01.04.,nan
Hessen,27.06. – 10.08.,nan,23.12. – 08.01.,17.03. – 08.04.,17.05. – 20.05.
Niedersachsen,04.07. – 14.08.,30.09. – 12.10.,21.12. – 06.01.,12.03. – 01.04.,17.05. – 20.05.
Nordrhein-Westfalen,25.07. – 07.09.,21.10. – 23.10.,23.12. – 06.01.,24.03. – 12.04.,17.05. – 20.05.
Rheinland-Pfalz,20.06. – 31.07.,14.10. – 19.10.,23.12. – 06.01.,12.03. – 02.04.,17.05. – 20.05.
Saarland,20.06. – 03.08.,07.10. – 12.10.,23.12. – 06.01.,17.03. – 05.04.,nan
Schleswig-Holstein,27.06. – 10.08.,14.10. – 19.10.,23.12. – 07.01.,17.03. – 07.04.,17.05. – 20.05.
