Land ,"Sommer 
1977 ","Herbst 
1977 ","Weihnachten 
1977/78 ","Ostern/Frühjahr 
1978 ","Himmelf./Pfingsten 
1978 "
Baden-Württemberg,23.06. - 06.08.,26.10. - 29.10.,23.12. - 11.01.,18.03 - 01.04.,13.05. - 16.05.
Bayern,28.07. - 14.09.,31.10. - 02.11.,23.12. - 07.01.,20.03. - 01.04.,16.05. - 27.05.
Berlin,16.06. - 30.07.,06.10. - 15.10.,23.12. - 07.01.,06.03. - 28.03.,12.05. - 20.05.
Bremen,16.06. - 30.07.,10.10. - 15.10.,23.12. - 07.01.,22.03. - 08.04.,16.05. - 23.05.
Hamburg,01.08. - 10.09.,24.10. - 29.10.,23.12. - 02.01.,13.03. - 01.04.,16.05. - 20.05.
Hessen,25.07. - 02.09.,24.10. - 29.10.,22.12. - 06.01.,20.03. - 11.04.,13.05.
Niedersachsen,16.06. - 30.07.,03.10. - 15.10.,23.12. - 07.01.,20.03. - 03.04.,13.05. - 20.05.
Nordrhein-Westfalen,07.07. - 20.08.,15.10. - 22.10.,23.12. - 07.01.,11.03. - 01.04.,nan
Rheinland-Pfalz,21.07. - 31.08.,26.10. - 31.10.,23.12. - 07.01.,20.03. - 07.04.,13.05. - 16.05.
Saarland,22.07. - 03.09.,31.10. - 05.11.,23.12. - 07.01.,20.03. - 08.04.,nan
Schleswig-Holstein,28.07. - 07.09.,24.10. - 05.11.,23.12. - 04.01.,20.03. - 08.04.,13.05.
