Land ,"Sommer 
1984 ","Herbst 
1984 ","Weihnachten 
1984/85 ","Winter 
1985 ","Ostern/Frühjahr 
1985 ","Himmelf./Pfingsten 
1985 "
Baden-Württemberg,26.07. – 08.09.,29.10. – 03.11.,24.12. – 11.01.,nan,01.04. – 12.04.,28.05. – 31.05.
Bayern,01.08. – 17.09.,31.10. – 02.11.,24.12. – 08.01.,nan,01.04. – 13.04.,28.05. – 08.06.
Berlin,19.07.– 01.09.,27.10. – 03.11.,22.12. – 05.01.,nan,23.03. – 13.04.,25.05. – 28.05.
Bremen,19.07. – 01.09.,29.10. – 03.11.,24.12. – 08.01.,nan,28.03. – 15.04.,28.05. – 29.05.
Hamburg,25.06. – 04.08.,08.10. – 20.10.,24.12. – 05.01.,nan,04.03. – 16.03.,17.05. – 27.05.
Hessen,12.07. – 22.08.,15.10. – 20.10.,21.12. – 12.01.,nan,25.03. – 13.04.,28.05.
Niedersachsen,19.07. – 29.08.,25.10. – 03.11.,21.12. – 05.01.,nan,23.03. – 13.04.,25.05. – 28.05.
Nordrhein-Westfalen,28.06. – 11.08.,08.10. – 13.10.,22.12. – 07.01.,nan,23.03. – 13.04.,nan
Rheinland-Pfalz,12.07. – 22.08.,22.10. – 27.10.,22.12. – 08.01.,nan,01.04. – 19.04.,25.05. – 28.05.
Saarland,19.07. – 01.09.,29.10. – 03.11.,22.12. – 05.01.+),nan,25.03. – 15.04.,nan
Schleswig-Holstein,21.06. – 01.08.,08.10. – 20.10.,22.12. – 05.01.,nan,27.03. – 13.04.,nan
