Land ,"Sommer 
1988 ","Herbst 
1988 ","Weihnachten 
1988/89 ","Winter 
1989 ","Ostern/Frühjahr 
1989 ","Himmelf./Pfingsten 
1989 "
Baden-Württemberg,01.07. – 13.08.,24.10. – 28.10.,27.12. – 05.01.,06.02. - 10.02.,23.03. – 31.03.,16.05. - 26.05.
Bayern,21.07. – 05.09.,31.10. - 06.11,27.12. – 07.01. *),nan,20.03. - 01.04.,16.05. - 27.05.
Berlin,23.06. - 06.08.,01.10. – 08.10.,23.12. – 07.01.,nan,17.03. - 01.04.,13.05. - 20.05.
Bremen,20.06. - 30.07.,03.10. – 08.10.,23.12. – 14.01.,nan,20.03. - 03.04.,16.05. - 20.05.
Hamburg,04.07. - 13.08.,10.10. – 22.10.,24.12. – 07.01.,nan,Frühjahrsferien,02.05. - 15.05.
nan,nan,nan,nan,nan,20.03. – 28.03.,nan
Hessen,25.07. - 02.09.,22.10. – 28.10.,23.12. – 14.01.,nan,20.03. – 07.04.,13.05. - 16.05.
Niedersachsen,16.06. – 30.07.,29.09. - 08.10.,23.12. – 07.01.,nan,18.03. - 04.04.,13.05. - 20.05.
Nordrhein-Westfalen,07.07. – 20.08.,17.10. – 22.10.,23.12. – 07.01.,nan,20.03. - 08.04.,16.05.
Rheinland-Pfalz,14.07. - 24.08.,17.10. – 22.10.,23.12. – 06.01.,nan,13.03. - 31.03.,13.05. - 16.05.
Saarland,14.07. - 27.08.,24.10. – 31.10.,22.12. – 04.01. **),nan,16.03. - 03.04.,-
Schleswig-Holstein,01.07. - 13.08.,10.10. – 22.10.,23.12. – 07.01.,nan,20.03. – 01.04.,-
