Land ,"Sommer 
1976 ","Herbst 
1976 ","Weihnachten 
1976/77 ","Ostern/Frühjahr 
1977 ","Himmelf./Pfingsten 
1977 "
Baden-Württemberg,01.07. - 14.08.,27.10. - 30.10.,23.12. - 11.01.,02.04. - 18.04.,28.05. - 31.05.
Bayern,29.07. - 15.09.,02.11.,23.12. - 08.01.,04.04. - 16.04.,31.05. - 11.06.
Berlin,24.06. - 07.08.,25.10. - 01.11.,23.12. - 03.01.,18.03. - 12.04.,28.05. - 31.05.
Bremen,24.06. - 07.08.,11.10. - 16.10.,22.12. - 05.01.,21.03. - 12.04.,31.05.
Hamburg,18.06. - 31.07.,04.10. - 16.10.,23.12. - 31.12.,07.03. - 26.03.,31.05. - 04.06.
Hessen,18.06. - 28.07.,04.10. - 14.10.,20.12. - 08.01.,04.04. - 16.04.,28.05. - 31.05.
Niedersachsen,24.06. - 04.08.,04.10. - 16.10.,22.12. - 05.01.,23.03. - 12.04.,28.05. - 31.05.
Nordrhein-Westfalen,15.07. - 28.08.,16.10. - 23.10.,23.12. - 08.01.,26.03. - 16.04.,nan
Rheinland-Pfalz,29.07. - 08.09.,02.11. - 06.11.,23.12. - 07.01.,04.04. - 23.04.,28.05. - 31.05.
Saarland,29.07. - 11.09.,02.11. - 06.11.,23.12. - 08.01.,04.04. - 23.04.,nan
Schleswig-Holstein,18.06. - 31.07.,04.10. - 16.10.,23.12. - 05.01.,26.03. - 13.04.,28.05.
