Land 2) ,"Sommer 
1994 ","Herbst 
1994 ","Weihnachten 
1994/95 ","Winter 
1995 ","Ostern/Frühjahr 
1995 ","Himmelf./Pfingsten 
1995 "
Baden-Württemberg (5),07.07.-20.08.,02.11.-04.11. 3),22.12.-07.01.,nan,18.04.-22.04.,29.05.-09.06.
Bayern (2),28.07.-12.09.,31.10.-04.11.,27.12.-07.01.,27.02.,10.04.-22.04.,06.06.-17.06.
Berlin (-),14.07.-24.08.,22.10.-29.10.,24.12.-04.01.,11.02.-25.02.,14.04.-02.05.,nan
Brandenburg (3),07.07.-20.08.,04.10.-08.10.,23.12.-04.01.,30.01.-11.02.,18.04.-22.04.,06.06.-07.06.
Bremen (1),21.07.-03.09.,24.10.-31.10.,23.12.-07.01.,nan,30.03.-19.04.,nan
Hamburg (-),18.07.-27.08.,24.10.-29.10.,23.12.-07.01.,nan,06.03.-18.03.,02.05.-06.05./26.05.
Hessen (2),18.07.-26.08.,17.10.-28.10.,23.12.-11.01.,nan,03.04.-21.04.,nan
Mecklenburg-Vorpommern (3),14.07.-27.08.,17.10.-22.10.,19.12.-02.01.,06.02.-18.02.,12.04.-19.04.,02.06.
Niedersachsen (2),21.07.-31.08.,20.10.-01.11.,23.12.-07.01.,nan,03.04.-19.04.,26.05. u. 06.06.
Nordrhein-Westfalen (4),23.06.-06.08.,04.10.-07.10.,23.12.-06.01.,nan,03.04.-22.04.,06.06.
Rheinland-Pfalz (4),30.06.-10.08.,17.10.-22.10. 5),23.12.-06.01.,nan,03.04.-22.04.,06.06.
Saarland,30.06.-13.08.,17.10.-22.10.,21.12.-07.01.,nan,10.04.-24.04.,nan
Sachsen (2),30.06.-10.08.,13.10.-22.10.,22.12.-04.01.,16.02.-25.02.,13.04.-22.04.,01.06.-06.06.
Sachsen-Anhalt (-),30.06.-10.08.,17.10.-22.10.,23.12.-05.01.,13.02.-25.02.,13.04.-22.04.,01.06.-03.06.
Schleswig-Holstein (1),14.07.-27.08. 6),17.10.-29.10. 6),23.12.-07.01.,nan,10.04.-22.04.,nan
Thüringen (3),14.07.-27.08.,24.10.-29.10.,22.12.-04.01.,06.02.-11.02.,10.04.-22.04.,02.06.-06.06.
