Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  3927;  643.00; 47.9299;  9.2212;19561001;19571231;Pfullendorf
  3927;  678.00; 47.9291;  9.2606;19580101;19650905;Pfullendorf
  3927;  676.00; 47.9279;  9.2600;19650906;19710831;Pfullendorf
  3927;  657.00; 47.9220;  9.2476;19710901;19720331;Pfullendorf
  3927;  672.00; 47.9145;  9.2687;19720401;19750930;Pfullendorf
  3927;  675.00; 47.9135;  9.2681;19751001;19790904;Pfullendorf
  3927;  668.00; 47.9232;  9.2667;19790905;19840930;Pfullendorf
  3927;  638.00; 47.9205;  9.2883;19841001;20020331;Pfullendorf
  3927;  629.50; 47.9345;  9.2869;20030701;        ;Pfullendorf
