Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  3631;    2.00; 53.7062;  7.1429;18580301;18700131;Norderney
  3631;    2.00; 53.7056;  7.1522;18970901;18990430;Norderney
  3631;    2.00; 53.7060;  7.1544;18990501;19340330;Norderney
  3631;    7.00; 53.7063;  7.1485;19340331;19380331;Norderney
  3631;    4.00; 53.7012;  7.1511;19380401;19470430;Norderney
  3631;   13.20; 53.7119;  7.1486;19470501;19810831;Norderney
  3631;   11.47; 53.7123;  7.1519;19810901;20230619;Norderney
  3631;   11.47; 53.7123;  7.1519;20230620;        ;Norderney
