Monat,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK,Monat_Code
January,10.519568690095847,3.5607565011820332,1.2640552995391705,3.737569730778559,1.651215201060539,2.7778049975502204,5.921835046377538,5.376296580868229,1008.2177320490367,-0.2610459433040078,83.98808150711265,2.3703323558162266,-3.1389051808406645,-4.382413509060956,1.0
February,10.281621621621621,3.3415641476274165,1.1300665778961383,3.5438082556591213,2.7024745269286754,2.7697724810400866,5.6911667583929555,5.479611650485437,1007.972365900383,0.5302469135802469,81.30418250950571,3.897209551918433,-2.789374325782093,-4.345515394912985,2.0
March,10.526517571884984,3.266719492868463,1.150366568914956,2.906158357771261,4.155152329749104,0.9662363455809335,5.184761663286004,6.330987558320373,1007.6503051438534,4.05420054200542,75.82562038117464,8.5113067195636,-0.045115934879131715,-1.8084115965700287,3.0
April,10.174222585924714,2.8401960784313727,1.2862373737373738,2.062626262626263,5.801996762257169,0.028476141611082608,4.936880542514345,7.839453595821616,1006.0181801801801,8.682417302798983,69.5785295299317,13.933128205128204,3.3905089058524176,1.4968367777309153,4.0
May,10.131194867682439,2.612730184147318,1.7447078953801027,1.5343436812515276,7.344764471939904,0.0,4.776566479877738,10.606228104320747,1006.9898804780877,13.916720019699582,67.77445309458933,19.42985111662531,7.924673725683329,5.9703060380479736,5.0
June,9.91930693069307,2.5290296052631582,1.998419071518193,1.5486459378134403,7.605867123287671,0.0,4.837075718015666,13.280827366746221,1007.0498422001803,17.346602677443798,67.50282530839634,22.8212213740458,11.375050505050504,9.78957805907173,6.0
July,10.007108626198082,2.5215482841181167,2.362381760853747,1.5243754547659472,7.397311091471499,0.0,4.855471316654031,14.829001524390245,1006.8105102485827,18.956304985337244,68.75782691574533,24.46035459246491,13.314100684261975,11.791670069416089,7.0
August,9.4128,2.3194928684627576,2.1537472714043173,1.4698035411108417,6.970003093239063,0.0,4.644607224046476,14.83055028462998,1006.9475806451613,18.150574431679296,71.37040622627183,23.828128078817734,12.74953567937439,11.191710902409147,8.0
September,9.178589211618258,2.498445171849427,1.517268170426065,1.4197994987468672,5.541180365296803,0.0,4.570685146443514,12.600824823252161,1008.1970036101084,14.202704068738944,77.01475235849057,19.630687022900766,9.389318181818181,7.781541666666667,9.0
October,9.32215088282504,2.7539556962025316,1.3930596285434995,1.633919843597263,3.8256752098983653,0.003481720964934096,5.099948717948718,9.880986717267552,1008.8892589363556,9.361758187638513,81.46662362324345,13.809305210918113,5.433735533119922,3.785127996749289,10.0
November,9.27071547420965,2.9987765089722673,1.392020202020202,2.4916666666666667,1.961234259259259,0.35598871505514235,5.91017214397496,7.498036906164114,1006.8858637798827,4.401540404040404,84.85746268656716,7.310378787878787,1.4958838383838384,0.4405,11.0
December,10.041773162939297,3.346093133385951,1.3479951100244498,3.309384164222874,1.4028060097216086,1.2266633565044687,6.0984813971146545,6.055087319665907,1007.356795989538,1.156256109481916,85.65921352583587,3.5625366568914956,-1.4544721407624632,-2.5884520884520885,12.0
