Monat,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK,Monat_Code
January,11.191548387096775,4.430193548387097,1.4583191850594228,4.379456706281833,1.5202853598014887,2.5270551508844954,6.018158168574401,5.646519524617997,1009.81957537155,0.5705008488964346,84.09040747028862,2.829541595925297,-1.9475382003395585,-3.4221986417657044,1.0
February,10.801133144475921,4.197237960339943,1.2668374476013042,4.008849557522124,2.650646698434309,2.732876712328767,5.726655251141553,5.647787610619469,1009.9841639496973,1.3174196553330229,80.36376339077783,4.184443409408477,-1.6057755006986492,-3.5547275267815555,2.0
March,11.428793774319066,4.273407022106632,1.18276740237691,3.319609507640068,4.029776674937965,0.8834547346514048,5.281685744016649,6.312382978723404,1009.695414012739,4.610738539898132,73.25234042553191,8.417317487266553,0.9338709677419355,-1.4519100169779287,3.0
April,11.178237650200266,3.9169004676018706,1.194736842105263,2.5442982456140353,6.021858974358975,0.03118279569892473,4.943356643356644,7.674462483545414,1008.2907942079861,9.327061403508772,65.87145239139974,13.880526315789472,4.586798245614035,1.410043859649123,4.0
May,10.974333983105913,3.6473649967469095,1.645964316057774,2.1201698513800427,7.486219739292364,0.0,4.789386056191468,10.255204778156997,1009.4116064598384,14.273344651952462,63.607896757679185,18.984125636672324,9.070840407470289,5.667275042444822,5.0
June,10.922535211267606,3.5774714189643575,2.2303736263736265,2.29223343571742,7.530192307692308,0.0,4.854301075268817,12.730304367004852,1009.297739092111,17.793728070175437,63.40374062637847,22.525087719298245,12.687368421052632,9.477543859649122,6.0
July,10.833549222797927,3.609838187702265,2.0553480475382,2.2156196943972835,7.51575682382134,0.0,4.855046826222685,14.309218351741716,1008.9077037351442,19.43709677419355,64.67215802888701,24.127249575551783,14.560738539898132,11.620543293718166,7.0
August,10.259974009096817,3.2971447112264762,1.9547538200339558,2.1061120543293717,7.167928039702233,0.0,4.598958875585633,14.354951126221843,1009.0541988950275,18.99685908319185,66.44374840628984,23.824872665534805,14.2259337860781,11.128438030560272,8.0
September,9.943402545210985,3.448960429242119,1.5169811320754716,2.0412280701754386,5.352467532467532,0.0,4.6758159443552705,12.40638204225352,1010.3187648351648,14.983026315789475,72.98345070422535,19.541973684210525,10.750438596491229,7.8357017543859655,9.0
October,9.948440610484406,3.628666224286662,1.3124840221559437,2.237021276595745,3.6928526249209357,0.0,5.189400921658986,10.038844028899279,1010.6807139821506,10.148471986417658,79.49471738206545,13.89876910016978,6.682640067911715,4.191850594227504,10.0
November,10.124066666666668,3.8908605737158104,1.4949999999999999,3.104824561403509,1.8050518134715026,0.2967741935483871,6.114585575888052,7.643026315789473,1008.8271140350877,5.117017543859649,84.45164035087718,7.575131578947368,2.572236842105263,0.8294736842105264,11.0
December,10.742801807617816,4.255268261150614,1.5709554140127389,3.9961799660441426,1.244789081885856,1.0171696149843912,6.258636836628512,6.263412563667233,1009.0110229202038,1.909125636672326,85.57782258064516,3.9960950764006786,-0.4061544991511036,-1.7453735144312394,12.0
