Monat,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK,Monat_Code
January,11.70588679245283,4.261276287164613,1.4945229073372375,3.9344318571918984,1.4335702569710225,2.9401444788441693,6.068044459881904,5.676149233844104,1014.1504659498207,0.20240289664252797,86.58013995334889,2.3622547389424677,-2.175157964748919,-3.396193548387097,1.0
February,11.519390347163421,4.140586797066015,1.2346036585365854,3.7440974866717442,2.3969160479725873,4.126862820022927,5.91085868309588,5.610438952416082,1014.3978122513922,0.41175611537057316,84.46956842493545,2.997270379933604,-2.2388786425673186,-3.5268413597733708,2.0
March,11.70262368815592,4.240948275862069,1.1724647645238913,3.0459849004804394,4.072788761706556,1.0621139327385039,5.301664932362123,6.385385121790652,1013.719567529245,3.227880184331797,80.78366809351334,6.748584595128374,0.09575378538512179,-1.5383870967741935,3.0
April,11.327803738317757,4.064425981873112,1.238784216139353,2.356382978723404,6.3079569892473115,0.04647037956722242,4.827466570292736,7.863537414965986,1012.9455326086957,7.115986394557823,76.92204081632653,11.44768707482993,3.2946938775510204,1.3261333333333334,4.0
May,10.922222222222222,3.6342026825633384,1.4970133882595262,1.9196704428424305,7.960068678459938,0.0,4.568552585907671,10.454626275930195,1014.7814661522273,11.872119815668203,74.12182597231377,16.431105990783408,7.3784726793943385,5.428,5.0
June,10.757536342769702,3.469718309859155,2.046755109358193,2.0412186379928317,8.093773655913978,0.0,4.679774463441252,13.214126264387863,1013.9250441501104,15.55008594018563,74.29630275549354,20.079003436426117,10.884776632302406,9.232333333333333,6.0
July,10.81564371257485,3.4881150643451933,2.226982492276004,2.0888812628689086,7.635594909862142,0.0,4.779604578563996,15.245194206714945,1013.278267882188,17.503949967083607,76.0582159315339,21.993844634628047,13.077024358130348,11.581677419354838,7.0
August,10.483419689119172,3.2625094482237342,2.1804049416609472,2.031228551818806,6.95414840425532,0.0,4.672866065232478,15.116919025674784,1013.3768699042893,17.021823568136934,77.79736668861092,21.685845951283742,12.868828176431863,11.313612903225806,8.0
September,10.392185128983307,3.3633888048411493,1.779113475177305,2.0322695035460994,5.531228415300546,0.0,4.590462531373252,12.732414965986395,1014.9900732600732,13.68425170068027,80.72697959183674,18.13687074829932,9.86047619047619,8.172266666666667,9.0
October,10.678248175182482,3.5677745664739886,1.6114010989010987,2.2810569663692517,3.658758748674443,0.001717032967032967,5.199271339347675,10.024061882817643,1014.2881971326165,9.207504937458856,84.05439763001975,12.81046741277156,5.974292297564188,4.456903225806451,10.0
November,10.693903345724907,3.79320029563932,1.4414946619217082,2.8631205673758866,1.7259599332220368,0.1433132316424264,5.99078853046595,7.684518543722354,1013.0732851851852,4.679727891156462,87.37091159270726,7.037721088435375,2.2865646258503403,1.2315333333333334,11.0
December,11.29444850255661,4.108472121650978,1.5491921622550706,3.4993127147766323,1.1838715239154616,1.2414977670903469,6.283165567511281,6.2970675453047775,1013.0938100358422,1.5706521739130435,88.28953871499176,3.594042132982225,-0.6330809743252139,-1.5803870967741935,12.0
