Monat,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK,Monat_Code
January,10.005209302325582,3.6710727969348658,1.9549264705882352,4.419852941176471,1.4915801614763553,2.007496251874063,6.192645943896892,6.082374362709396,1008.450099009901,1.5297903109182935,84.75746540422432,3.541935483870968,-1.6903225806451614,-2.6330734966592426,1.0
February,9.931326530612246,3.4831941544885177,1.6677419354838707,4.082612116443745,2.450189633375474,1.8645833333333333,5.79478402607987,5.937697160883281,1009.4997903563942,1.9686614173228345,80.74369085173501,4.597850821744627,-1.5458912768647282,-2.7570164348925412,2.0
March,10.46586046511628,3.500669216061185,1.6484179543782191,3.6813833701250918,3.3853046594982077,0.3997039230199852,5.623716012084592,6.669482884195194,1009.754743083004,4.972812725958062,75.55280407865988,8.493202764976958,1.1247695852534563,-0.2736175115207373,3.0
April,9.933816425120773,2.98,1.4169045830202855,3.153268219383922,5.312592592592592,0.018957345971563982,5.179401993355482,7.82231467473525,1009.9019087136929,9.085714285714285,68.41099848714069,13.376666666666667,3.918095238095238,2.045952380952381,4.0
May,9.788982259570496,2.8337175792507208,1.7150251617541337,2.8935251798561152,6.949581839904421,0.010038610038610039,5.1084745762711865,10.252589350838804,1009.6362624254473,13.748115942028987,66.04188913202042,18.603801843317974,8.198271889400923,6.25,5.0
June,9.666095238095238,2.7299313052011778,1.9739776951672863,3.2023809523809526,6.5297530864197535,0.0,5.410880000000001,12.835201793721973,1009.2835542168675,16.828380386329865,67.90953662182362,20.868928571428572,11.147261904761905,9.468214285714286,6.0
July,9.489165867689358,2.644926108374384,2.227442528735632,3.2456896551724137,6.8167264038231785,0.0,5.2405873493975905,14.459551374819101,1008.5946887159532,18.648489208633094,68.72301013024602,23.195967741935483,13.413940092165898,11.738248847926267,7.0
August,9.19119850187266,2.5175953079178885,2.097909156452776,3.1131939437635183,6.671923536439665,0.0,5.082727272727273,14.496298984034834,1008.8068039215685,18.23458483754513,70.57890420899855,23.173847926267282,13.099539170506912,11.3323732718894,8.0
September,8.859193706981317,2.608316430020284,1.8613501483679524,3.013353115727003,4.905925925925926,0.0,5.1178459119496855,12.615946348733234,1010.6687051792828,14.336201780415431,77.32997019374069,18.976785714285715,9.899761904761904,8.135238095238096,9.0
October,9.247773654916513,2.9718780727630287,1.8169892473118279,3.3433691756272403,3.3857825567502986,0.0,5.402754399387911,10.275867052023122,1009.8609689922481,10.008986340762041,81.78555635838151,13.760138248847925,6.12258064516129,4.532027649769585,10.0
November,9.011206896551725,3.1458799593082403,1.7489073097211758,3.8696307460437076,1.7181481481481482,0.16539050535987748,6.147413793103449,7.989264264264265,1006.7926422764227,5.488125466766244,85.86825825825827,7.835595238095237,2.3145238095238096,1.215952380952381,11.0
December,9.81425837320574,3.5628344895936572,2.2184615384615385,4.378461538461538,1.126913875598086,0.8455821635012386,6.4020321761219305,6.778070836473248,1008.0250326797385,2.838138138138138,86.69253956292388,4.6604838709677425,-0.10875576036866356,-0.9465657741559954,12.0
