Monat,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK,Monat_Code
January,10.490413421210306,3.6374441964285715,1.3731881022203603,4.1436950146627565,1.5565563468789276,2.0055178268251272,6.1648512777545035,5.624130708001675,985.8510263929618,0.42346041055718475,84.6158357771261,2.9878607809847195,-2.0882852292020373,-3.07683284457478,1.0
February,10.397541528239202,3.503395061728395,1.3586206896551725,3.717701149425287,2.822543908045977,1.3013507219375873,5.560643678160919,5.666160919540229,985.0969655172413,1.3421609195402298,80.43264367816091,4.814857941313461,-1.7360503027480205,-3.0550344827586207,2.0
March,11.291866028708133,3.7262952646239555,1.3241726015919566,3.1512358609132805,4.225094260578131,0.3010615711252654,5.102933780385583,6.5909928780896525,984.463133640553,5.1937159614578965,73.72894847088395,9.746307300509338,1.0372665534804755,-0.4732718894009217,3.0
April,11.082592592592592,3.2832758620689653,1.3327705627705626,2.648051948051948,5.9012987012987015,0.031578947368421054,4.833160173160174,7.832813852813852,983.047761904762,9.438354978354978,67.29339393939394,14.690562770562769,4.344675324675325,2.6201731601731604,4.0
May,10.735603345280765,2.997441601779755,1.7619606200251363,2.330540427314621,6.874263510682865,0.0,4.865982404692082,10.617930456640135,984.1925052366987,13.84147465437788,67.90028068705489,19.27913699204022,8.37494763301215,6.760284876413908,5.0
June,10.509181141439205,2.7678220681686887,2.0640259740259737,2.3264069264069263,7.31148658008658,0.0,4.829506065857886,13.290476190476191,985.1214155844157,17.193636363636365,68.56668831168831,22.60930735930736,11.761645021645021,10.37574707665656,6.0
July,10.49055023923445,2.738251670378619,1.9511101801424382,2.2111436950146626,7.51134645999162,0.0,4.614255765199162,14.548511530398322,985.2325324947589,18.95798072894847,67.89884276729559,24.57804775869292,13.457017176372016,12.108085462924173,7.0
August,9.712221553281156,2.5210496929089894,1.8416841223292837,2.1960620025136155,6.925828655215753,0.0,4.513788767812238,14.459279430247173,985.0560494344365,18.443653121072476,69.76104733975701,24.28776707163804,13.134687892752408,11.775492249685797,8.0
September,9.11377358490566,2.570506108202443,1.5113852813852815,2.088311688311688,5.444412836079792,0.0,4.6692107545533394,12.457409012131716,986.171910745234,14.611038961038961,75.57556759098787,20.250086580086577,9.811471861471862,8.497792207792209,9.0
October,9.0497009569378,2.7979398663697106,1.4576455802262254,2.4997905320485967,3.5107322999581068,0.006402048655569782,5.270925848345203,9.992459153749476,986.2606828655216,9.637704231252618,81.92908671973188,14.25240888144114,5.775492249685798,4.600544616673649,10.0
November,9.463716258631512,3.158143607705779,1.5793073593073592,3.2415584415584417,1.6690978354978354,0.193859649122807,6.248961038961039,7.491818181818181,984.5593203463203,4.59982683982684,85.85916017316018,7.445021645021645,1.9845021645021643,1.0316017316017316,11.0
December,10.14139393939394,3.502140845070423,1.739254294093004,3.9359028068705486,1.2746062002513616,0.9898132427843803,6.367616254713029,6.194051110180142,985.0756221198155,1.5762044407205698,86.60251361541684,3.909509844993716,-0.802010892333473,-1.6504398826979472,12.0
