campingsplatzname,left,right,geometry,Bundesland,Regierungsbezirk,Kreis,Typ,stations_id,distance_km
Weingut Burkhard,49.71752060000001,8.1063719,POINT (902397.1920889015 6397498.345796668),Rheinland-Pfalz,Rheinhessen-Pfalz,Alzey-Worms,Landkreise,377,105.6
Weingut H.Engelhard,49.7762453,8.255249100000002,POINT (918970.1261836302 6407615.265964656),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz-Bingen,Landkreise,377,118.51
Campingplatz Bleiau,49.9863319,8.3141968,POINT (925532.1541310645 6443909.103260999),Hessen,Darmstadt,Groß-Gerau,Landkreise,377,155.34
Wohnmobilpark Bingen,49.9688291,7.9450257,POINT (884436.2152634719 6440879.339207436),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz-Bingen,Landkreise,3939,139.31
Weingut Schott Wohnmobil-Stellplätze,49.907059,8.1615158,POINT (908535.7829572568 6430195.627926937),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz-Bingen,Landkreise,3939,138.44
"Campingplatz, Wein- und Biergarten ""Inselrhein""",50.0116089,8.1005363,POINT (901747.5760684283 6448286.540778081),Hessen,Darmstadt,Rheingau-Taunus-Kreis,Landkreise,3939,152.04
Weingut Borntaler Hof,49.69947789999999,8.2985616,POINT (923791.6516286135 6394392.459347217),Rheinland-Pfalz,Rheinhessen-Pfalz,Alzey-Worms,Landkreise,377,107.12
Campingplatz Am Steinrodsee,49.944371,8.604526000000002,POINT (957851.4528374833 6436647.44601291),Hessen,Darmstadt,Darmstadt-Dieburg,Landkreise,5705,153.59
Camping Mörfelden Inh. Adrian Schrötter,49.97969269999999,8.594363099999999,POINT (956720.1239845001 6442759.716852127),Hessen,Darmstadt,Groß-Gerau,Landkreise,5705,156.01
Campingplatz Mainkur,50.1382638,8.7828941,POINT (977707.2989032468 6470255.216421181),Hessen,Darmstadt,Frankfurt am Main Städte,Kreisfreie Städte,5705,145.44
Jugendzeltplatz Wild Park,49.94984960000001,8.518170200000002,POINT (948238.3691544374 6437595.200796732),Hessen,Darmstadt,Groß-Gerau,Landkreise,377,156.08
Camping Bachgrund Worfelden,49.94366000000001,8.55094,POINT (951886.2866038348 6436524.456497694),Hessen,Darmstadt,Groß-Gerau,Landkreise,377,156.48
Weingut Burghof Oswald,49.79669,8.34586,POINT (929056.8854319501 6411140.296099237),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz-Bingen,Landkreise,377,124.67
"""Campingfreunde Schusterwörth e. V.""",49.7678048,8.4394992,POINT (939480.7534942398 6406160.407282708),Hessen,Darmstadt,Groß-Gerau,Landkreise,377,123.69
Campingplatz Riedsee,49.861055,8.4255019,POINT (937922.5811857589 6422247.695789968),Hessen,Darmstadt,Groß-Gerau,Landkreise,377,138.06
"""Oasis of peace""",49.68556,8.669870000000001,POINT (965125.5136438789 6391997.407482778),Hessen,Darmstadt,Bergstraße,Landkreise,377,124.29
Camping Maaraue,50.0012853,8.2858418,POINT (922375.6899696214 6446498.435311078),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz Städte,Kreisfreie Städte,377,157.19
Hundemobil,49.62690000000001,8.75036,POINT (974085.6194578295 6381910.471033796),Hessen,Darmstadt,Bergstraße,Landkreise,377,122.31
Campingplatz Mainaue,49.79490209999999,9.1636923,POINT (1020097.5606222418 6410831.970948206),Bayern,Unterfranken,Miltenberg,Landkreise,5705,88.48
Campingplatz Mönchberg,49.7894959,9.263435399999995,POINT (1031200.911724384 6409899.735570378),Bayern,Unterfranken,Miltenberg,Landkreise,5705,77.35
Erftal - Camping,49.696907,9.340257599999996,POINT (1039752.719910003 6393949.996212634),Bayern,Unterfranken,Miltenberg,Landkreise,5705,69.88
Jugendzeltplatz Burg Breuberg,49.8228121,9.0332283,POINT (1005574.3745753882 6415646.377294062),Hessen,Darmstadt,Odenwaldkreis,Landkreise,5705,103.3
"Pferdehof Masseria La Murgia Criollo zucht,Ferienhof",49.60003,8.77425,POINT (976745.0420928806 6377294.0704470305),Hessen,Darmstadt,Bergstraße,Landkreise,377,120.86
Campsite and lakes Mainhausen,50.022938,9.02122,POINT (1004237.6167340953 6450249.246605628),Hessen,Darmstadt,Offenbach,Landkreise,5705,113.01
Camping Park Main Nice,50.1274253,8.9040954,POINT (991199.3659027293 6468372.973126473),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise,5705,132.55
AZUR Camping Wertheim,49.77798,9.509096,POINT (1058547.7246243544 6407914.301366022),Baden-Württemberg,Stuttgart,Main-Tauber,Landkreise,5705,49.95
Campingpark Wertheim Bettingen / Schmid Camping GmbH,49.7812228,9.565951600000002,POINT (1064876.8610651009 6408473.33855216),Bayern,Unterfranken,Main-Spessart,Landkreise,5705,43.64
„Café Mainland“ Restaurant & Campingplatz,49.891436,9.596107999999996,POINT (1068233.8561572584 6427495.653542161),Bayern,Unterfranken,Main-Spessart,Landkreise,5705,45.34
Falken-Zeltlagerplatz,50.116752,9.46385,POINT (1053510.9629439223 6466519.835426388),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise,5705,81.31
Campingplatz Zellingen,49.89647180000001,9.8266947,POINT (1093902.65018496 6428365.847445136),Bayern,Unterfranken,Main-Spessart,Landkreise,5705,26.19
"Wohnmobilstellplatz Schöllkrippen, am Naturerlebnisbad",50.0845542,9.2535343,POINT (1030098.7263140911 6460932.036212975),Bayern,Unterfranken,Aschaffenburg,Landkreise,5705,95.37
McKamp Abenteuer- & Freizeitcamp,50.11942480000001,9.736811,POINT (1083896.8424703449 6466983.858039468),Bayern,Unterfranken,Main-Spessart,Landkreise,5705,65.19
Jugendzeltplatz Gut Erlasee,50.0041648,9.9217294,POINT (1104481.8645966519 6446997.142254469),Bayern,Unterfranken,Main-Spessart,Landkreise,5705,40.59
Camping- u. Freizeitzentrum Roßmühle - Franz Volkert KG,50.1068473,9.7831663,POINT (1089057.0908619142 6464800.514416598),Bayern,Unterfranken,Main-Spessart,Landkreise,5705,61.35
Naturfreundehaus Günthersmühle,50.1985326,9.3046609,POINT (1035790.1133920826 6480729.445894225),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise,5705,103.82
Camping Main Spessart Park,49.8186359,9.588412300000002,POINT (1067377.1747519614 6414925.816420756),Bayern,Unterfranken,Main-Spessart,Landkreise,5705,41.93
Kalte Quelle,49.74386599999999,9.984943999999995,POINT (1111518.8816793517 6402035.539865038),Bayern,Unterfranken,Würzburg Städte,Kreisfreie Städte,5705,5.49
Pfadfinderzeltplatz,50.0655849,10.1283887,POINT (1127487.0726403461 6457641.747114648),Bayern,Unterfranken,Schweinfurt,Landkreise,5705,54.46
Volker Schneider,49.79774580000001,10.3440881,POINT (1151498.6200127609 6411322.375215966),Bayern,Unterfranken,Kitzingen,Landkreise,5705,43.28
Wohnmobilpark „Am Hutrasen“,50.0383867,10.2345776,POINT (1139307.9669162438 6452926.397145892),Bayern,Unterfranken,Schweinfurt Städte,Kreisfreie Städte,5705,55.64
Camping Island Bamberg,49.8618689,10.9167837,POINT (1215250.802584309 6422388.244339772),Bayern,Oberfranken,Bamberg Städte,Kreisfreie Städte,5705,107.93
Wohnmobilstellplatz der Naturfreunde Haßfurt e.V.,50.0260316,10.5161699,POINT (1170654.6783635507 6450785.276670406),Bayern,Unterfranken,Haßberge,Landkreise,5705,76.27
Michael Kundmüller,49.939569,10.5833292,POINT (1178130.8174415831 6435816.826355777),Bayern,Unterfranken,Haßberge,Landkreise,5705,75.53
Pfadfinderlandheim Schweinbach,49.7686278,10.869249,POINT (1209959.263985298 6406302.2536908155),Bayern,Oberfranken,Bamberg,Landkreise,5705,101.48
Cali-Camper.de Wohnmobilverleih Kretschmer,49.9224753,10.9018184,POINT (1213584.8730087404 6432860.737670831),Bayern,Oberfranken,Bamberg,Landkreise,5705,108.34
Campingplatz Bieger,49.7898876,11.2058163,POINT (1247425.764438965 6409967.2761154445),Bayern,Oberfranken,Forchheim,Landkreise,5705,138.99
Annelore Bergmann Camping,50.0537602,10.9457916,POINT (1218479.9472412912 6455591.371343521),Bayern,Oberfranken,Lichtenfels,Landkreise,5705,120.41
Zeltplatz DJK Teuchatz,49.8755021,11.0872234,POINT (1234224.063199267 6424742.849393016),Bayern,Oberfranken,Bamberg,Landkreise,5705,127.05
Camping in Bavaria,49.7830941,11.3666684,POINT (1265331.7383039936 6408795.95527146),Bayern,Oberfranken,Forchheim,Landkreise,5705,156.87
herzogwind4.de - Ferien / Honig / Holz / Wohnmobilstellplatz,49.7020707,11.3376003,POINT (1262095.8922136656 6394838.715278353),Bayern,Oberfranken,Forchheim,Landkreise,5705,154.07
Kinder- & Jugendzeltplatz Haselbrunn,49.78568459999999,11.4179837,POINT (1271044.1313698979 6409242.584404351),Bayern,Oberfranken,Bayreuth,Landkreise,5705,162.59
Maincamping Lichtenfels,50.1562542,11.0866065,POINT (1234155.390205397 6473380.419615789),Bayern,Oberfranken,Lichtenfels,Landkreise,5705,142.31
Jugendzeltplatz Bayreuth,49.9317384,11.588189,POINT (1289991.298696214 6434462.516134425),Bayern,Oberfranken,Bayreuth Städte,Kreisfreie Städte,5705,183.64
Campingplatz Rußweiher,49.7581309,11.7986701,POINT (1313421.9475698222 6404493.2633955525),Bayern,Oberpfalz,Neustadt,Landkreise,5705,204.95
Campingplatz Holderbach,49.9747,11.85283,POINT (1319451.000059237 6441895.4790151585),Bayern,Oberfranken,Bayreuth,Landkreise,5705,213.9
Hotel-Restaurant-Gasthof-Turm,50.2092268,12.096151,POINT (1346537.369878547 6482589.392195912),Bayern,Oberfranken,Wunsiedel,Landkreise,5705,249.89
"Lenz Leberkern, STOAWOLDdesign",49.83221999999999,12.09514,POINT (1346424.8258733551 6417269.842759878),Bayern,Oberpfalz,Tirschenreuth,Landkreise,5705,238.18
Dengler Hof,50.1076638,12.1704217,POINT (1354805.1463834068 6464942.234246766),Bayern,Oberfranken,Wunsiedel,Landkreise,5705,253.14
Kornberg-Borderland-Camping,50.14382800000001,12.050921,POINT (1341502.3893099672 6471221.676129472),Bayern,Oberfranken,Wunsiedel,Landkreise,5705,241.82
Campingplatz Fichtelsee,50.01666,11.85551,POINT (1319749.3362945628 6449161.559599555),Bayern,Oberfranken,Bayreuth,Landkreise,5705,215.51
Panorama & Wellness campsite Großbüchlberg *****,49.972254,12.226135,POINT (1361007.1225698197 6441472.108422542),Bayern,Oberpfalz,Tirschenreuth,Landkreise,5705,254.92
Campingplatz und Gasthaus zum Pfaffenstein,49.7803726,11.3108463,POINT (1259117.6505569825 6408326.766099154),Bayern,Oberfranken,Forchheim,Landkreise,5705,150.65
Trägerhof,49.6475607,12.5030537,POINT (1391833.571244955 6385461.814674285),Bayern,Oberpfalz,Neustadt,Landkreise,5705,284.14
Camping Landal Wirfttal,50.3393254,6.538665299999999,POINT (727880.8916636473 6505249.732024047),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise,5717,168.77
ACC - the triangle e.V. Camping Rosenthal,50.5531219,6.2556716,POINT (696378.1770819429 6542623.618351213),Nordrhein-Westfalen,Köln,Aachen,Landkreise,5717,152.22
Camping Tintesmühle,50.0936129,6.1258308,POINT (681924.3653417517 6462503.757687357),Rheinland-Pfalz,Trier,Bitburg-Prüm,Landkreise,3939,224.85
Wohnmobilstellplatz-Birkenhof,50.286546,6.69113,POINT (744853.1844315967 6496049.244885974),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise,5717,172.0
Campingplatz Felsenblick,50.6537586,6.4923983,POINT (722730.472783115 6560274.65397163),Nordrhein-Westfalen,Köln,Düren,Landkreise,5717,122.37
LANDGUT PFAUENHOF,50.2238914,6.9344543,POINT (771939.9216052262 6485140.552343675),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise,5717,177.6
"MotorHotel en MotorCamping, Biker Pension VETUS TEMPUS",50.28219000000001,6.460299999999999,POINT (719157.3063717852 6495290.364418657),Rheinland-Pfalz,Trier,Bitburg-Prüm,Landkreise,5717,181.33
Ferienwohnung Pintenmühle,50.2287252,6.6856262,POINT (744240.5042181686 6485981.64712074),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise,5717,181.88
Wildbach Camping - Dein Campingplatz in der Eifel,50.4817447,6.4333633,POINT (716158.726644134 6530127.341022953),Nordrhein-Westfalen,Köln,Euskirchen,Landkreise,5717,151.46
Stellplatz-Eifelland,50.35037,6.56542,POINT (730859.2112439742 6507176.316088318),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise,5717,165.88
Camping at the Nürburgring,50.32061090000001,6.937880400000002,POINT (772321.3133126333 6501986.257892943),Rheinland-Pfalz,Koblenz,Ahrweiler,Landkreise,5717,160.82
Campingpark Dockweiler Mühle,50.2549105,6.780536199999998,POINT (754805.8370893579 6490539.445376781),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise,5717,174.98
Camping Falkley,50.3779649,7.1227277,POINT (792898.4206231447 6511991.839974611),Rheinland-Pfalz,Koblenz,Mayen-Koblenz,Landkreise,5717,149.71
Eifel-Camp,50.41466199999999,6.718585999999999,POINT (747909.5723708166 6518400.110031415),Nordrhein-Westfalen,Köln,Euskirchen,Landkreise,5717,149.69
Feriendorf Pulvermaar,50.131336,6.9333102,POINT (771812.5609758097 6469052.066729589),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise,3939,177.35
Camping Denntal,50.4757605,6.9865082,POINT (777734.5352470303 6529080.52228509),Rheinland-Pfalz,Koblenz,Ahrweiler,Landkreise,5717,133.29
Ortsgemeinde Landkern,50.1864605,7.1577746,POINT (796799.8236850273 6478630.354366091),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise,3939,177.83
Campingplatz „Altes Forsthaus“ Landkern,50.1865135,7.157792899999999,POINT (796801.8608317088 6478639.5688234735),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise,3939,177.84
Strotzbüscher Mühle,50.1058449,6.980122,POINT (777023.6267149262 6464626.5312441485),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise,3939,171.2
Nature Camping Eifel - Holiday village Moritz GbR,50.0970735,6.7993268,POINT (756897.5971130583 6463104.264366746),Rheinland-Pfalz,Trier,Bernkastel-Wittlich,Landkreise,3939,178.77
Camping Rheineck,50.49163059999999,7.309920799999998,POINT (813736.6611951587 6531856.976247886),Rheinland-Pfalz,Koblenz,Ahrweiler,Landkreise,5717,131.77
Camping Bocher Place,50.57702519999999,7.411721399999998,POINT (825069.0521496085 6546812.688299266),Rheinland-Pfalz,Koblenz,Neuwied,Landkreise,5717,119.76
Camping Uferwiese Braubach,50.27528270000001,7.6387122,POINT (850337.5524203664 6494087.151628459),Rheinland-Pfalz,Koblenz,Mayen-Koblenz,Landkreise,5717,177.72
Häppy Life - Camping Burgen,50.2148968,7.388937599999999,POINT (822532.7711352729 6483575.693528808),Rheinland-Pfalz,Koblenz,Mayen-Koblenz,Landkreise,3939,177.6
Camping Siesta,50.386449,7.272260699999998,POINT (809544.3580399349 6513472.944162906),Rheinland-Pfalz,Koblenz,Mayen-Koblenz,Landkreise,5717,149.34
Campingplatz Burg Lahneck,50.3055099,7.6127777,POINT (847450.5370863882 6499353.850115363),Rheinland-Pfalz,Koblenz,Rhein-Lahn,Landkreise,5717,171.8
Jugendzeltplatz Boppard,50.2231763,7.5828101,POINT (844114.5591140918 6485016.130173216),Rheinland-Pfalz,Koblenz,Rhein-Hunsrück,Landkreise,3939,177.65
Knaus Campingpark,50.36645,7.604185999999998,POINT (846494.1134173395 6509982.060265828),Rheinland-Pfalz,Koblenz,Koblenz Coblenz Städte,Kreisfreie Städte,5717,161.46
Autarka - Andreas Keil,50.1771919,7.568867000000002,POINT (842562.4203220123 6477019.094241129),Rheinland-Pfalz,Koblenz,Rhein-Hunsrück,Landkreise,3939,169.67
Camping Beach Club Fachbach an der Lahn,50.3367473,7.6914804,POINT (856211.681574444 6504800.08114255),Rheinland-Pfalz,Koblenz,Rhein-Lahn,Landkreise,5717,169.82
Zeltplatz Cochem-Klotten (Jugendzeltplatz),50.16955100000001,7.163537999999999,POINT (797441.4024382653 6475691.029711331),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise,3939,174.83
Campingplatz Zum Katzenstein,50.56065,7.99911,POINT (890456.8519993826 6543942.693896245),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise,5717,153.99
Campingplatz Eisenbachtal,50.43627919999999,7.904729799999998,POINT (879950.496194415 6522177.360095164),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise,5717,165.34
Campingplatz Obernhof an der Lahn,50.31594200000001,7.851514000000001,POINT (874026.5404362585 6501172.285501773),Rheinland-Pfalz,Koblenz,Rhein-Lahn,Landkreise,5717,180.62
"Camping ""Bad Ems""",50.3180726,7.735459599999998,POINT (861107.4237239393 6501543.722730146),Rheinland-Pfalz,Koblenz,Rhein-Lahn,Landkreise,5717,174.73
Jugendferiendorf Untershausen,50.3973057,7.831849200000001,POINT (871837.464913707 6515368.629424721),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise,5717,167.06
Campingplatz Schönburgblick,50.10262,7.736466000000003,POINT (861219.4556594742 6464066.820974644),Rheinland-Pfalz,Koblenz,Rhein-Hunsrück,Landkreise,3939,157.57
"Campingplatz ""Haus Seeblick"" GbR",50.52574,7.9046201,POINT (879938.2844462751 6537827.530731196),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise,5717,152.36
Jugendzeltplatz Hauseley,50.4803293,8.2648636,POINT (920040.4074278618 6529879.732511756),Hessen,Gießen,Limburg-Weilburg,Landkreise,5717,184.31
Wohnmobil-Stellplatz Taunus Mobilcamp,50.3104449,8.426493899999997,POINT (938033.0101206256 6500214.027827027),Hessen,Darmstadt,Hochtaunuskreis,Landkreise,5705,194.46
Dutenhofener See,50.56494,8.61215,POINT (958700.152635291 6544694.483006986),Hessen,Gießen,Lahn-Dill-Kreis,Landkreise,4763,170.95
Jugendzeltplatz Nasser Fleck Butzbach,50.39997,8.61179,POINT (958660.0776186053 6515833.908424591),Hessen,Darmstadt,Wetteraukreis,Landkreise,5705,185.41
Lahntours-Zeltplatz Solms-Schohleck,50.54030299999999,8.3808467,POINT (932951.587060487 6540377.972162454),Hessen,Gießen,Lahn-Dill-Kreis,Landkreise,5717,186.56
Welter's Camping and leisure paradise,50.618399,8.123934,POINT (904352.196118162 6554068.502798392),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise,5717,156.15
Heisterberger Weiher,50.65272239999999,8.1627678,POINT (908675.1549597299 6560092.718581915),Hessen,Gießen,Lahn-Dill-Kreis,Landkreise,5717,155.3
Zeltlager Eckmannshain,50.5903952,9.186353300000002,POINT (1022620.1716031085 6549156.717237221),Hessen,Gießen,Vogelsbergkreis,Landkreise,4763,117.84
"Wohnmobilstellplatz Grebenhain, Ilbeshausen-Hochwaldhausen",50.5196111,9.318025300000002,POINT (1037277.8315948405 6536754.402029981),Hessen,Gießen,Vogelsbergkreis,Landkreise,4763,118.13
Campingplatz Lahnblick,50.6588957,8.7113421,POINT (969742.1666980063 6561176.68225816),Hessen,Gießen,Gießen,Landkreise,4763,153.16
Nieder-Mooser See,50.4661071,9.3730117,POINT (1043398.8896433953 6527392.128049107),Hessen,Gießen,Vogelsbergkreis,Landkreise,4763,122.78
Campground Bärensee,50.1518442,8.9529154,POINT (996633.9834432572 6472614.227480655),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise,5705,129.87
Wohnresidenz & Waldcamping im Ohmtal,50.72911999999999,9.012770000000002,POINT (1003296.9670368923 6573517.340010444),Hessen,Gießen,Vogelsbergkreis,Landkreise,4763,117.87
Campingplatz Birkenhain,50.3814391,9.713720100000002,POINT (1081326.3752403867 6512598.313308215),Hessen,Kassel,Fulda,Landkreise,5705,109.41
Campingplatz-Sinntal-Oberzell,50.3382514,9.710805,POINT (1081001.8677927752 6505062.410860343),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise,5705,102.22
Zeltplatz am Hauck,50.4200987,9.832543,POINT (1094553.6799629664 6519349.921639273),Hessen,Kassel,Fulda,Landkreise,5705,113.6
Kurt Richter,50.46295999999999,9.91932,POINT (1104213.6514155343 6526841.770007775),Hessen,Kassel,Fulda,Landkreise,4763,107.01
Rhön-Indianer-Hotel > Bauernhofbäckerei - Christof Gensler KG,50.4982073,9.8763582,POINT (1099431.165715972 6533007.834939027),Hessen,Kassel,Fulda,Landkreise,4763,100.97
Campingplatz Schlitz,50.6692415,9.5682154,POINT (1065128.8661283583 6562993.610634164),Hessen,Gießen,Vogelsbergkreis,Landkreise,4763,81.09
Camping Park on Lake Gederner,50.42908220000001,9.180799600000002,POINT (1022001.93654709 6520919.611268011),Hessen,Darmstadt,Wetteraukreis,Landkreise,4763,139.89
Rhönpiraten,50.4588719,10.2177531,POINT (1137435.0721433924 6526126.906605091),Bayern,Unterfranken,Rhön-Grabfeld,Landkreise,4763,112.63
Wellness Bauernhof Weihersmühle - Familie Hückl,50.5242106,10.1254068,POINT (1127155.1290507496 6537559.730144291),Bayern,Unterfranken,Rhön-Grabfeld,Landkreise,4763,98.91
Camping at the lake,50.2526573,10.4090345,POINT (1158728.420189617 6490147.15620587),Bayern,Unterfranken,Rhön-Grabfeld,Landkreise,5705,97.49
Caravaning Arnstein,49.97376089999999,9.985100999999998,POINT (1111536.3588394066 6441732.930548841),Bayern,Unterfranken,Main-Spessart,Landkreise,5705,35.26
Rhön Camping-Park GmbH,50.5065519,10.0112819,POINT (1114450.8032959164 6534468.289644895),Hessen,Kassel,Fulda,Landkreise,4763,99.87
Campingplatz Meiningen,50.5695554,10.4359101,POINT (1161720.1982963807 6545503.372366202),Thüringen,Thüringen,Schmalkalden-Meiningen,Landkreise,4763,105.23
Campingplatz Am Waldbad Breitenbach,50.547372,10.778752,POINT (1199885.1840269791 6541616.2613300625),Thüringen,Thüringen,Hildburghausen,Landkreise,4763,132.64
"Landcafé ""Grünes Herz"", Pension „Volkseigenes Gut“",50.4083078,10.913966,POINT (1214937.1376551008 6517290.1459131865),Thüringen,Thüringen,Hildburghausen,Landkreise,5705,153.57
Pfadfinderhaus Fornbach,50.3399818,11.0025102,POINT (1224793.8329117985 6505364.219781435),Bayern,Oberfranken,Coburg,Landkreise,5705,152.58
Holiday Park Thuringian Forest,50.4314696,11.0244547,POINT (1227236.6834775114 6521336.8124673655),Thüringen,Thüringen,Sonneberg,Landkreise,5705,165.12
Camping Schloß Roßdorf,50.70440139999999,10.2130312,POINT (1136909.4326398156 6569171.383121585),Thüringen,Thüringen,Schmalkalden-Meiningen,Landkreise,4763,72.32
Ferienzentrum Rauenstein,50.4170851,11.0355968,POINT (1228477.0163758793 6518823.421102263),Thüringen,Thüringen,Sonneberg,Landkreise,5705,164.29
Feriencamp kid´s live,50.6970535,10.8842925,POINT (1211633.8987450467 6567879.937148895),Thüringen,Thüringen,Ilm-Kreis,Landkreise,4763,125.77
Caravanstellplatz am Biathlonstadion Oberhof,50.706332,10.6945303,POINT (1190509.6672692352 6569510.733449829),Thüringen,Thüringen,Schmalkalden-Meiningen,Landkreise,4763,107.36
Bergsee Ratscher,50.49214490000001,10.7917381,POINT (1201330.7900663696 6531946.967983483),Thüringen,Thüringen,Hildburghausen,Landkreise,4763,140.53
Naturcamp Meyersgrund,50.65103899999999,10.843334,POINT (1207074.4193813903 6559797.156750643),Thüringen,Thüringen,Ilm-Kreis,Landkreise,4763,126.46
Kurcampingplatz Bad Staffelstein,50.1124739,10.9833187,POINT (1222657.4449042394 6465777.17190882),Bayern,Oberfranken,Lichtenfels,Landkreise,5705,128.6
Wohnmobil-Ferienpark Großbreitenbach,50.58321009999999,10.9892655,POINT (1223319.4396520888 6547896.942492602),Thüringen,Thüringen,Ilm-Kreis,Landkreise,4763,146.6
Hotel Sommerfrische Lothramühle,50.5906228,11.5201396,POINT (1282416.0741394262 6549196.625840189),Thüringen,Thüringen,Saalfeld-Rudolstadt,Landkreise,4763,196.97
Campingplatz Saalthal-Alter,50.62101,11.50876,POINT (1281149.3028619953 6554526.613672966),Thüringen,Thüringen,Saalfeld-Rudolstadt,Landkreise,4763,193.59
Schloss Issigau - Stefan Braitmaier,50.3743962,11.7212537,POINT (1304803.9933427738 6511368.916503675),Bayern,Oberfranken,Hof,Landkreise,5705,222.53
Joditz,50.3757409,11.8382526,POINT (1317828.251314147 6511603.63098142),Bayern,Oberfranken,Hof,Landkreise,5705,234.2
Camping Saalburg Bad,50.49478300000001,11.730986,POINT (1305887.3880230212 6532408.59566891),Thüringen,Thüringen,Saale-Orla,Landkreise,4763,225.44
Campingplatz Kloster,50.5158047,11.7304185,POINT (1305824.2142119962 6536087.997426867),Thüringen,Thüringen,Saale-Orla,Landkreise,4763,223.75
Campground Droschkau,50.60136079999999,11.5862686,POINT (1289777.5207460946 6551079.703591335),Thüringen,Thüringen,Saale-Orla,Landkreise,4763,202.87
Camping,50.59972,11.5930057,POINT (1290527.491287518 6550791.935610992),Thüringen,Thüringen,Saalfeld-Rudolstadt,Landkreise,4763,203.67
Ferienland Crispendorf,50.57942440000001,11.70194,POINT (1302654.00209344 6547233.267146455),Thüringen,Thüringen,Saale-Orla,Landkreise,4763,216.2
Beach 24 GBR,50.657269,11.361034,POINT (1264704.519765068 6560891.037780193),Thüringen,Thüringen,Saalfeld-Rudolstadt,Landkreise,4763,175.98
Camping Plothener ponds,50.6525013,11.7704666,POINT (1310282.348311234 6560053.898492808),Thüringen,Thüringen,Saale-Orla,Landkreise,4763,218.56
Camping Stadtsteinach,50.16065749999999,11.5163634,POINT (1281995.7094782926 6474145.518208988),Bayern,Oberfranken,Kulmbach,Landkreise,5705,186.2
"Vogtlandcamping - Stellplatz & Café ""Schnabberei""",50.316883,12.3149967,POINT (1370899.1617648443 6501336.332276745),Sachsen,Chemnitz,Vogtlandkreis,Landkreise,5705,278.99
Berghotel Steiger-Pfötchenurlaub,50.59307,12.63549,POINT (1406576.3127235004 6549625.743185157),Sachsen,Chemnitz,Aue-Schwarzenberg,Landkreise,880,281.36
Sportpark Rabenberg e.V.,50.4555053,12.743282,POINT (1418575.6632750889 6525538.254300301),Sachsen,Chemnitz,Aue-Schwarzenberg,Landkreise,880,292.43
Mühlteich,50.62217690000001,12.3982913,POINT (1380171.4742226738 6554731.3593839165),Sachsen,Chemnitz,Vogtlandkreis,Landkreise,4763,286.74
Wohnmobil- und Caravanplatz Eibenstock,50.5049849,12.5998315,POINT (1402606.8266610482 6534194.016852056),Sachsen,Chemnitz,Aue-Schwarzenberg,Landkreise,880,295.61
Camping Silberbach,50.6068878,12.6582164,POINT (1409106.2039990646 6552049.117756011),Sachsen,Chemnitz,Aue-Schwarzenberg,Landkreise,880,277.87
Hammerwerk Schmalzgrube e.V. - Naturherberge mit H-ERZ,50.5245124,13.1338934,POINT (1462058.3254211366 6537612.575159239),Sachsen,Chemnitz,Annaberg,Landkreise,880,258.2
Ferienpark Seiffen,50.6266602,13.456639,POINT (1497986.201268906 6555518.051984095),Sachsen,Chemnitz,Mittlerer Erzgebirgskreis,Landkreise,880,225.52
Café - Camping - Wiesenhaus,50.8991828,6.997502400000001,POINT (778958.4039927098 6603479.665369058),Nordrhein-Westfalen,Köln,Cologne Städte,Kreisfreie Städte,5717,59.48
Campingplatz Stadt Köln,50.90278850000001,6.990746099999999,POINT (778206.296117063 6604116.114683073),Nordrhein-Westfalen,Köln,Cologne Städte,Kreisfreie Städte,5717,59.02
simply network informationsmanagement gmbh,50.9371136,6.557509399999999,POINT (729978.6072801048 6610177.376261366),Nordrhein-Westfalen,Köln,Rhein-Erft-Kreis,Landkreise,5717,80.02
Nature moves you,50.62733470000001,6.384705299999998,POINT (710742.1428611147 6555636.414186496),Nordrhein-Westfalen,Köln,Aachen,Landkreise,5717,133.13
