Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;5_Merkmal_Code;5_Merkmal_Label;5_Auspraegung_Code;5_Auspraegung_Label;UMS002__Umsatz__2015=100
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT02;Februar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-553;Campingplätze;52,2
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT02;Februar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-559;Sonstige Beherbergungsstätten;133,7
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT02;Februar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-56;Gastronomie;147,6
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT02;Februar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-561;Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.;149,2
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT02;Februar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-562;Caterer und sonstige Verpflegungsdienstleistungen;86,4
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT02;Februar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-563;Ausschank von Getränken;246,7
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT02;Februar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-561-01;Gaststättengewerbe;162,8
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT02;Februar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55-01;Gastgewerbe;127,1
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;111,3
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-551;Hotels, Gasthöfe und Pensionen;110,6
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;125,1
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-553;Campingplätze;81,8
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-559;Sonstige Beherbergungsstätten;148,7
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-56;Gastronomie;166,0
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-561;Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.;170,4
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-562;Caterer und sonstige Verpflegungsdienstleistungen;99,9
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-563;Ausschank von Getränken;257,0
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-561-01;Gaststättengewerbe;182,4
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT03;März;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55-01;Gastgewerbe;143,9
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;117,2
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-551;Hotels, Gasthöfe und Pensionen;115,9
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;131,8
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-553;Campingplätze;119,4
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-559;Sonstige Beherbergungsstätten;153,1
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-56;Gastronomie;168,1
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-561;Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.;175,3
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-562;Caterer und sonstige Verpflegungsdienstleistungen;92,3
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-563;Ausschank von Getränken;259,8
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-561-01;Gaststättengewerbe;187,0
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT04;April;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55-01;Gastgewerbe;147,5
