Jahr,Monat,Unternehmen_Id,Unternehmensbeschreibung,Umsatz in millionen
2001,2,WZ08-55,Beherbergung,95.1
2001,2,WZ08-551,"Hotels, Gasthöfe und Pensionen",96.2
2001,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,84.4
2001,2,WZ08-553,Campingplätze,57.8
2001,2,WZ08-559,Sonstige Beherbergungsstätten,76.2
2001,2,WZ08-56,Gastronomie,126.7
2001,2,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",130.1
2001,2,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,92.7
2001,2,WZ08-563,Ausschank von Getränken,166.6
2001,2,WZ08-561-01,Gaststättengewerbe,135.2
2001,2,WZ08-55-01,Gastgewerbe,114.0
2001,3,WZ08-55,Beherbergung,111.7
2001,3,WZ08-551,"Hotels, Gasthöfe und Pensionen",113.6
2001,3,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,89.4
2001,3,WZ08-553,Campingplätze,64.5
2001,3,WZ08-559,Sonstige Beherbergungsstätten,67.7
2001,3,WZ08-56,Gastronomie,140.7
2001,3,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",145.1
2001,3,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,103.2
2001,3,WZ08-563,Ausschank von Getränken,180.7
2001,3,WZ08-561-01,Gaststättengewerbe,150.0
2001,3,WZ08-55-01,Gastgewerbe,129.0
2001,4,WZ08-55,Beherbergung,113.2
2001,4,WZ08-551,"Hotels, Gasthöfe und Pensionen",112.1
2001,4,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,120.8
2001,4,WZ08-553,Campingplätze,137.0
2001,4,WZ08-559,Sonstige Beherbergungsstätten,102.6
2001,4,WZ08-56,Gastronomie,142.9
2001,4,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",151.7
2001,4,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,94.8
2001,4,WZ08-563,Ausschank von Getränken,176.3
2001,4,WZ08-561-01,Gaststättengewerbe,155.1
2001,4,WZ08-55-01,Gastgewerbe,130.9
2001,5,WZ08-55,Beherbergung,137.2
2001,5,WZ08-551,"Hotels, Gasthöfe und Pensionen",137.2
2001,5,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,138.5
2001,5,WZ08-553,Campingplätze,113.6
2001,5,WZ08-559,Sonstige Beherbergungsstätten,120.6
2001,5,WZ08-56,Gastronomie,155.7
2001,5,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",165.9
2001,5,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,103.8
2001,5,WZ08-563,Ausschank von Getränken,186.7
2001,5,WZ08-561-01,Gaststättengewerbe,168.5
2001,5,WZ08-55-01,Gastgewerbe,148.3
2001,6,WZ08-55,Beherbergung,132.0
2001,6,WZ08-551,"Hotels, Gasthöfe und Pensionen",130.7
2001,6,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,156.0
2001,6,WZ08-553,Campingplätze,109.6
2001,6,WZ08-559,Sonstige Beherbergungsstätten,149.5
2001,6,WZ08-56,Gastronomie,152.6
2001,6,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",162.8
2001,6,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,101.2
2001,6,WZ08-563,Ausschank von Getränken,182.6
2001,6,WZ08-561-01,Gaststättengewerbe,165.4
2001,6,WZ08-55-01,Gastgewerbe,144.4
2001,7,WZ08-55,Beherbergung,130.3
2001,7,WZ08-551,"Hotels, Gasthöfe und Pensionen",126.7
2001,7,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,173.6
2001,7,WZ08-553,Campingplätze,159.8
2001,7,WZ08-559,Sonstige Beherbergungsstätten,192.8
2001,7,WZ08-56,Gastronomie,155.9
2001,7,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",166.3
2001,7,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,101.4
2001,7,WZ08-563,Ausschank von Getränken,190.1
2001,7,WZ08-561-01,Gaststättengewerbe,169.5
2001,7,WZ08-55-01,Gastgewerbe,145.5
2001,8,WZ08-55,Beherbergung,132.5
2001,8,WZ08-551,"Hotels, Gasthöfe und Pensionen",129.3
2001,8,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,174.7
2001,8,WZ08-553,Campingplätze,146.6
2001,8,WZ08-559,Sonstige Beherbergungsstätten,188.6
2001,8,WZ08-56,Gastronomie,154.7
2001,8,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",167.4
2001,8,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.1
2001,8,WZ08-563,Ausschank von Getränken,177.9
2001,8,WZ08-561-01,Gaststättengewerbe,168.7
2001,8,WZ08-55-01,Gastgewerbe,145.8
2001,9,WZ08-55,Beherbergung,143.4
2001,9,WZ08-551,"Hotels, Gasthöfe und Pensionen",142.9
2001,9,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,161.6
2001,9,WZ08-553,Campingplätze,89.0
2001,9,WZ08-559,Sonstige Beherbergungsstätten,141.3
2001,9,WZ08-56,Gastronomie,147.5
2001,9,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",155.7
2001,9,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,103.7
2001,9,WZ08-563,Ausschank von Getränken,175.8
2001,9,WZ08-561-01,Gaststättengewerbe,158.3
2001,9,WZ08-55-01,Gastgewerbe,145.9
2001,10,WZ08-55,Beherbergung,135.2
2001,10,WZ08-551,"Hotels, Gasthöfe und Pensionen",135.8
2001,10,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,140.2
2001,10,WZ08-553,Campingplätze,74.6
2001,10,WZ08-559,Sonstige Beherbergungsstätten,103.4
2001,10,WZ08-56,Gastronomie,150.2
2001,10,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",159.1
2001,10,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,100.7
2001,10,WZ08-563,Ausschank von Getränken,184.3
2001,10,WZ08-561-01,Gaststättengewerbe,162.5
2001,10,WZ08-55-01,Gastgewerbe,144.2
2001,11,WZ08-55,Beherbergung,108.1
2001,11,WZ08-551,"Hotels, Gasthöfe und Pensionen",110.9
2001,11,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,74.8
2001,11,WZ08-553,Campingplätze,45.4
2001,11,WZ08-559,Sonstige Beherbergungsstätten,56.2
2001,11,WZ08-56,Gastronomie,138.5
2001,11,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",143.7
2001,11,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.6
2001,11,WZ08-563,Ausschank von Getränken,176.8
2001,11,WZ08-561-01,Gaststättengewerbe,148.3
2001,11,WZ08-55-01,Gastgewerbe,126.3
2001,12,WZ08-55,Beherbergung,105.3
2001,12,WZ08-551,"Hotels, Gasthöfe und Pensionen",108.0
2001,12,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,70.1
2001,12,WZ08-553,Campingplätze,41.3
2001,12,WZ08-559,Sonstige Beherbergungsstätten,74.4
2001,12,WZ08-56,Gastronomie,153.0
2001,12,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",162.9
2001,12,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,93.5
2001,12,WZ08-563,Ausschank von Getränken,199.3
2001,12,WZ08-561-01,Gaststättengewerbe,167.8
2001,12,WZ08-55-01,Gastgewerbe,133.5
2002,1,WZ08-55,Beherbergung,91.7
2002,1,WZ08-551,"Hotels, Gasthöfe und Pensionen",92.6
2002,1,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,76.5
2002,1,WZ08-553,Campingplätze,68.7
2002,1,WZ08-559,Sonstige Beherbergungsstätten,67.9
2002,1,WZ08-56,Gastronomie,121.5
2002,1,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",125.3
2002,1,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,88.1
2002,1,WZ08-563,Ausschank von Getränken,159.1
2002,1,WZ08-561-01,Gaststättengewerbe,130.0
2002,1,WZ08-55-01,Gastgewerbe,109.5
2002,2,WZ08-55,Beherbergung,92.5
2002,2,WZ08-551,"Hotels, Gasthöfe und Pensionen",93.7
2002,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,77.2
2002,2,WZ08-553,Campingplätze,65.2
2002,2,WZ08-559,Sonstige Beherbergungsstätten,64.5
2002,2,WZ08-56,Gastronomie,118.1
2002,2,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",120.8
2002,2,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,88.4
2002,2,WZ08-563,Ausschank von Getränken,155.4
2002,2,WZ08-561-01,Gaststättengewerbe,125.6
2002,2,WZ08-55-01,Gastgewerbe,107.8
2002,3,WZ08-55,Beherbergung,104.7
2002,3,WZ08-551,"Hotels, Gasthöfe und Pensionen",105.1
2002,3,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,98.9
2002,3,WZ08-553,Campingplätze,85.3
2002,3,WZ08-559,Sonstige Beherbergungsstätten,79.0
2002,3,WZ08-56,Gastronomie,134.4
2002,3,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",140.2
2002,3,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,93.3
2002,3,WZ08-563,Ausschank von Getränken,172.7
2002,3,WZ08-561-01,Gaststättengewerbe,144.6
2002,3,WZ08-55-01,Gastgewerbe,122.4
2002,4,WZ08-55,Beherbergung,111.5
2002,4,WZ08-551,"Hotels, Gasthöfe und Pensionen",111.1
2002,4,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,108.3
2002,4,WZ08-553,Campingplätze,138.4
2002,4,WZ08-559,Sonstige Beherbergungsstätten,78.1
2002,4,WZ08-56,Gastronomie,133.6
2002,4,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",139.1
2002,4,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.8
2002,4,WZ08-563,Ausschank von Getränken,166.3
2002,4,WZ08-561-01,Gaststättengewerbe,142.7
2002,4,WZ08-55-01,Gastgewerbe,124.7
2002,5,WZ08-55,Beherbergung,123.8
2002,5,WZ08-551,"Hotels, Gasthöfe und Pensionen",122.6
2002,5,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,140.6
2002,5,WZ08-553,Campingplätze,121.6
2002,5,WZ08-559,Sonstige Beherbergungsstätten,125.4
2002,5,WZ08-56,Gastronomie,142.9
2002,5,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",152.8
2002,5,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,91.4
2002,5,WZ08-563,Ausschank von Getränken,175.6
2002,5,WZ08-561-01,Gaststättengewerbe,155.8
2002,5,WZ08-55-01,Gastgewerbe,135.3
2002,6,WZ08-55,Beherbergung,124.6
2002,6,WZ08-551,"Hotels, Gasthöfe und Pensionen",123.1
2002,6,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,146.6
2002,6,WZ08-553,Campingplätze,117.8
2002,6,WZ08-559,Sonstige Beherbergungsstätten,137.3
2002,6,WZ08-56,Gastronomie,137.4
2002,6,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",144.5
2002,6,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,95.2
2002,6,WZ08-563,Ausschank von Getränken,169.1
2002,6,WZ08-561-01,Gaststättengewerbe,147.9
2002,6,WZ08-55-01,Gastgewerbe,132.3
2002,7,WZ08-55,Beherbergung,121.1
2002,7,WZ08-551,"Hotels, Gasthöfe und Pensionen",117.5
2002,7,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,168.5
2002,7,WZ08-553,Campingplätze,145.1
2002,7,WZ08-559,Sonstige Beherbergungsstätten,185.7
2002,7,WZ08-56,Gastronomie,138.7
2002,7,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",148.2
2002,7,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,94.8
2002,7,WZ08-563,Ausschank von Getränken,160.8
2002,7,WZ08-561-01,Gaststättengewerbe,149.8
2002,7,WZ08-55-01,Gastgewerbe,131.7
2002,8,WZ08-55,Beherbergung,124.2
2002,8,WZ08-551,"Hotels, Gasthöfe und Pensionen",120.7
2002,8,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,168.0
2002,8,WZ08-553,Campingplätze,153.6
2002,8,WZ08-559,Sonstige Beherbergungsstätten,178.1
2002,8,WZ08-56,Gastronomie,139.5
2002,8,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",149.5
2002,8,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,89.5
2002,8,WZ08-563,Ausschank von Getränken,168.7
2002,8,WZ08-561-01,Gaststättengewerbe,152.0
2002,8,WZ08-55-01,Gastgewerbe,133.3
2002,9,WZ08-55,Beherbergung,136.2
2002,9,WZ08-551,"Hotels, Gasthöfe und Pensionen",135.4
2002,9,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,158.6
2002,9,WZ08-553,Campingplätze,88.4
2002,9,WZ08-559,Sonstige Beherbergungsstätten,141.7
2002,9,WZ08-56,Gastronomie,135.4
2002,9,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",142.4
2002,9,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.7
2002,9,WZ08-563,Ausschank von Getränken,162.1
2002,9,WZ08-561-01,Gaststättengewerbe,145.1
2002,9,WZ08-55-01,Gastgewerbe,135.9
2002,10,WZ08-55,Beherbergung,123.8
2002,10,WZ08-551,"Hotels, Gasthöfe und Pensionen",123.9
2002,10,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,134.4
2002,10,WZ08-553,Campingplätze,69.3
2002,10,WZ08-559,Sonstige Beherbergungsstätten,108.4
2002,10,WZ08-56,Gastronomie,131.3
2002,10,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",135.8
2002,10,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,94.9
2002,10,WZ08-563,Ausschank von Getränken,169.1
2002,10,WZ08-561-01,Gaststättengewerbe,140.3
2002,10,WZ08-55-01,Gastgewerbe,128.3
2002,11,WZ08-55,Beherbergung,98.3
2002,11,WZ08-551,"Hotels, Gasthöfe und Pensionen",100.7
2002,11,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,72.0
2002,11,WZ08-553,Campingplätze,41.8
2002,11,WZ08-559,Sonstige Beherbergungsstätten,43.0
2002,11,WZ08-56,Gastronomie,121.4
2002,11,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",123.4
2002,11,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,94.0
2002,11,WZ08-563,Ausschank von Getränken,159.6
2002,11,WZ08-561-01,Gaststättengewerbe,128.3
2002,11,WZ08-55-01,Gastgewerbe,112.2
2002,12,WZ08-55,Beherbergung,94.7
2002,12,WZ08-551,"Hotels, Gasthöfe und Pensionen",96.8
2002,12,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,67.2
2002,12,WZ08-553,Campingplätze,42.0
2002,12,WZ08-559,Sonstige Beherbergungsstätten,67.5
2002,12,WZ08-56,Gastronomie,132.8
2002,12,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",138.4
2002,12,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,89.6
2002,12,WZ08-563,Ausschank von Getränken,176.4
2002,12,WZ08-561-01,Gaststättengewerbe,143.6
2002,12,WZ08-55-01,Gastgewerbe,117.4
2003,1,WZ08-55,Beherbergung,82.7
2003,1,WZ08-551,"Hotels, Gasthöfe und Pensionen",82.7
2003,1,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,75.3
2003,1,WZ08-553,Campingplätze,83.8
2003,1,WZ08-559,Sonstige Beherbergungsstätten,103.9
2003,1,WZ08-56,Gastronomie,112.1
2003,1,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",112.6
2003,1,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,85.7
2003,1,WZ08-563,Ausschank von Getränken,157.3
2003,1,WZ08-561-01,Gaststättengewerbe,118.8
2003,1,WZ08-55-01,Gastgewerbe,100.3
2003,2,WZ08-55,Beherbergung,84.8
2003,2,WZ08-551,"Hotels, Gasthöfe und Pensionen",84.9
2003,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,80.9
2003,2,WZ08-553,Campingplätze,68.5
2003,2,WZ08-559,Sonstige Beherbergungsstätten,101.3
2003,2,WZ08-56,Gastronomie,110.1
2003,2,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",110.3
2003,2,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,85.6
2003,2,WZ08-563,Ausschank von Getränken,152.6
2003,2,WZ08-561-01,Gaststättengewerbe,116.2
2003,2,WZ08-55-01,Gastgewerbe,99.9
2003,3,WZ08-55,Beherbergung,97.1
2003,3,WZ08-551,"Hotels, Gasthöfe und Pensionen",96.7
2003,3,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,96.0
2003,3,WZ08-553,Campingplätze,105.5
2003,3,WZ08-559,Sonstige Beherbergungsstätten,95.0
2003,3,WZ08-56,Gastronomie,122.9
2003,3,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",125.5
2003,3,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,90.1
2003,3,WZ08-563,Ausschank von Getränken,166.7
2003,3,WZ08-561-01,Gaststättengewerbe,131.2
2003,3,WZ08-55-01,Gastgewerbe,112.5
2003,4,WZ08-55,Beherbergung,97.9
2003,4,WZ08-551,"Hotels, Gasthöfe und Pensionen",96.5
2003,4,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,100.7
2003,4,WZ08-553,Campingplätze,154.7
2003,4,WZ08-559,Sonstige Beherbergungsstätten,110.4
2003,4,WZ08-56,Gastronomie,122.8
2003,4,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",126.1
2003,4,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,88.2
2003,4,WZ08-563,Ausschank von Getränken,165.4
2003,4,WZ08-561-01,Gaststättengewerbe,131.6
2003,4,WZ08-55-01,Gastgewerbe,112.9
2003,5,WZ08-55,Beherbergung,118.3
2003,5,WZ08-551,"Hotels, Gasthöfe und Pensionen",117.7
2003,5,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,127.3
2003,5,WZ08-553,Campingplätze,117.6
2003,5,WZ08-559,Sonstige Beherbergungsstätten,78.8
2003,5,WZ08-56,Gastronomie,133.4
2003,5,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",139.1
2003,5,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,89.8
2003,5,WZ08-563,Ausschank von Getränken,176.8
2003,5,WZ08-561-01,Gaststättengewerbe,144.3
2003,5,WZ08-55-01,Gastgewerbe,127.3
2003,6,WZ08-55,Beherbergung,114.7
2003,6,WZ08-551,"Hotels, Gasthöfe und Pensionen",113.0
2003,6,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,140.1
2003,6,WZ08-553,Campingplätze,135.2
2003,6,WZ08-559,Sonstige Beherbergungsstätten,81.8
2003,6,WZ08-56,Gastronomie,130.3
2003,6,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",135.2
2003,6,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,91.0
2003,6,WZ08-563,Ausschank von Getränken,171.6
2003,6,WZ08-561-01,Gaststättengewerbe,140.2
2003,6,WZ08-55-01,Gastgewerbe,124.0
2003,7,WZ08-55,Beherbergung,109.0
2003,7,WZ08-551,"Hotels, Gasthöfe und Pensionen",106.3
2003,7,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,143.9
2003,7,WZ08-553,Campingplätze,159.8
2003,7,WZ08-559,Sonstige Beherbergungsstätten,83.4
2003,7,WZ08-56,Gastronomie,132.3
2003,7,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",138.0
2003,7,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,94.5
2003,7,WZ08-563,Ausschank von Getränken,166.1
2003,7,WZ08-561-01,Gaststättengewerbe,141.9
2003,7,WZ08-55-01,Gastgewerbe,123.0
2003,8,WZ08-55,Beherbergung,112.4
2003,8,WZ08-551,"Hotels, Gasthöfe und Pensionen",109.2
2003,8,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,144.7
2003,8,WZ08-553,Campingplätze,197.4
2003,8,WZ08-559,Sonstige Beherbergungsstätten,83.3
2003,8,WZ08-56,Gastronomie,133.1
2003,8,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",140.4
2003,8,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,86.3
2003,8,WZ08-563,Ausschank von Getränken,172.6
2003,8,WZ08-561-01,Gaststättengewerbe,144.8
2003,8,WZ08-55-01,Gastgewerbe,124.8
2003,9,WZ08-55,Beherbergung,124.6
2003,9,WZ08-551,"Hotels, Gasthöfe und Pensionen",124.0
2003,9,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,139.4
2003,9,WZ08-553,Campingplätze,110.7
2003,9,WZ08-559,Sonstige Beherbergungsstätten,72.5
2003,9,WZ08-56,Gastronomie,129.3
2003,9,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",132.2
2003,9,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.4
2003,9,WZ08-563,Ausschank von Getränken,168.5
2003,9,WZ08-561-01,Gaststättengewerbe,137.2
2003,9,WZ08-55-01,Gastgewerbe,127.4
2003,10,WZ08-55,Beherbergung,118.5
2003,10,WZ08-551,"Hotels, Gasthöfe und Pensionen",118.5
2003,10,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,129.8
2003,10,WZ08-553,Campingplätze,83.0
2003,10,WZ08-559,Sonstige Beherbergungsstätten,74.3
2003,10,WZ08-56,Gastronomie,126.8
2003,10,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",128.6
2003,10,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,95.3
2003,10,WZ08-563,Ausschank von Getränken,173.1
2003,10,WZ08-561-01,Gaststättengewerbe,134.8
2003,10,WZ08-55-01,Gastgewerbe,123.5
2003,11,WZ08-55,Beherbergung,94.5
2003,11,WZ08-551,"Hotels, Gasthöfe und Pensionen",96.0
2003,11,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,80.8
2003,11,WZ08-553,Campingplätze,45.9
2003,11,WZ08-559,Sonstige Beherbergungsstätten,62.8
2003,11,WZ08-56,Gastronomie,117.8
2003,11,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",118.5
2003,11,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,91.1
2003,11,WZ08-563,Ausschank von Getränken,161.4
2003,11,WZ08-561-01,Gaststättengewerbe,124.4
2003,11,WZ08-55-01,Gastgewerbe,108.4
2003,12,WZ08-55,Beherbergung,94.6
2003,12,WZ08-551,"Hotels, Gasthöfe und Pensionen",95.0
2003,12,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,89.3
2003,12,WZ08-553,Campingplätze,50.8
2003,12,WZ08-559,Sonstige Beherbergungsstätten,149.0
2003,12,WZ08-56,Gastronomie,129.3
2003,12,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",132.4
2003,12,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,90.5
2003,12,WZ08-563,Ausschank von Getränken,179.5
2003,12,WZ08-561-01,Gaststättengewerbe,138.9
2003,12,WZ08-55-01,Gastgewerbe,115.3
2004,1,WZ08-55,Beherbergung,79.1
2004,1,WZ08-551,"Hotels, Gasthöfe und Pensionen",78.7
2004,1,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,76.7
2004,1,WZ08-553,Campingplätze,102.1
2004,1,WZ08-559,Sonstige Beherbergungsstätten,74.3
2004,1,WZ08-56,Gastronomie,107.8
2004,1,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",108.2
2004,1,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,82.4
2004,1,WZ08-563,Ausschank von Getränken,151.1
2004,1,WZ08-561-01,Gaststättengewerbe,114.1
2004,1,WZ08-55-01,Gastgewerbe,96.2
2004,2,WZ08-55,Beherbergung,85.8
2004,2,WZ08-551,"Hotels, Gasthöfe und Pensionen",85.4
2004,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,84.5
2004,2,WZ08-553,Campingplätze,100.3
2004,2,WZ08-559,Sonstige Beherbergungsstätten,69.3
2004,2,WZ08-56,Gastronomie,108.1
2004,2,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",108.8
2004,2,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,84.1
2004,2,WZ08-563,Ausschank von Getränken,147.7
2004,2,WZ08-561-01,Gaststättengewerbe,114.2
2004,2,WZ08-55-01,Gastgewerbe,99.1
2004,3,WZ08-55,Beherbergung,98.2
2004,3,WZ08-551,"Hotels, Gasthöfe und Pensionen",97.4
2004,3,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,105.9
2004,3,WZ08-553,Campingplätze,111.1
2004,3,WZ08-559,Sonstige Beherbergungsstätten,86.3
2004,3,WZ08-56,Gastronomie,114.8
2004,3,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",115.3
2004,3,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,93.6
2004,3,WZ08-563,Ausschank von Getränken,150.2
2004,3,WZ08-561-01,Gaststättengewerbe,120.2
2004,3,WZ08-55-01,Gastgewerbe,108.1
2004,4,WZ08-55,Beherbergung,100.7
2004,4,WZ08-551,"Hotels, Gasthöfe und Pensionen",99.4
2004,4,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,113.7
2004,4,WZ08-553,Campingplätze,122.0
2004,4,WZ08-559,Sonstige Beherbergungsstätten,92.8
2004,4,WZ08-56,Gastronomie,120.0
2004,4,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",123.3
2004,4,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,88.7
2004,4,WZ08-563,Ausschank von Getränken,156.3
2004,4,WZ08-561-01,Gaststättengewerbe,127.7
2004,4,WZ08-55-01,Gastgewerbe,112.2
2004,5,WZ08-55,Beherbergung,121.2
2004,5,WZ08-551,"Hotels, Gasthöfe und Pensionen",121.0
2004,5,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,126.8
2004,5,WZ08-553,Campingplätze,115.6
2004,5,WZ08-559,Sonstige Beherbergungsstätten,85.3
2004,5,WZ08-56,Gastronomie,128.1
