Jahr,Monat,Unternehmen_Id,Unternehmensbeschreibung,Umsatz in millionen
1994,9,WZ08-55-01,Gastgewerbe,169.2
1994,10,WZ08-55,Beherbergung,146.0
1994,10,WZ08-551,"Hotels, Gasthöfe und Pensionen",146.6
1994,10,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,152.8
1994,10,WZ08-553,Campingplätze,56.7
1994,10,WZ08-559,Sonstige Beherbergungsstätten,187.8
1994,10,WZ08-56,Gastronomie,176.7
1994,10,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",185.1
1994,10,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,98.1
1994,10,WZ08-563,Ausschank von Getränken,266.7
1994,10,WZ08-561-01,Gaststättengewerbe,196.4
1994,10,WZ08-55-01,Gastgewerbe,164.4
1994,11,WZ08-55,Beherbergung,106.5
1994,11,WZ08-551,"Hotels, Gasthöfe und Pensionen",108.0
1994,11,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,95.3
1994,11,WZ08-553,Campingplätze,34.8
1994,11,WZ08-559,Sonstige Beherbergungsstätten,110.5
1994,11,WZ08-56,Gastronomie,164.4
1994,11,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",168.8
1994,11,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.3
1994,11,WZ08-563,Ausschank von Getränken,258.3
1994,11,WZ08-561-01,Gaststättengewerbe,181.4
1994,11,WZ08-55-01,Gastgewerbe,140.8
1994,12,WZ08-55,Beherbergung,110.8
1994,12,WZ08-551,"Hotels, Gasthöfe und Pensionen",112.1
1994,12,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,101.6
1994,12,WZ08-553,Campingplätze,32.5
1994,12,WZ08-559,Sonstige Beherbergungsstätten,127.1
1994,12,WZ08-56,Gastronomie,180.8
1994,12,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",190.6
1994,12,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.3
1994,12,WZ08-563,Ausschank von Getränken,270.1
1994,12,WZ08-561-01,Gaststättengewerbe,201.6
1994,12,WZ08-55-01,Gastgewerbe,152.4
1995,1,WZ08-55,Beherbergung,92.2
1995,1,WZ08-551,"Hotels, Gasthöfe und Pensionen",91.6
1995,1,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,95.4
1995,1,WZ08-553,Campingplätze,88.4
1995,1,WZ08-559,Sonstige Beherbergungsstätten,126.0
1995,1,WZ08-56,Gastronomie,146.9
1995,1,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",150.4
1995,1,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,91.9
1995,1,WZ08-563,Ausschank von Getränken,224.0
1995,1,WZ08-561-01,Gaststättengewerbe,160.7
1995,1,WZ08-55-01,Gastgewerbe,124.7
1995,2,WZ08-55,Beherbergung,96.6
1995,2,WZ08-551,"Hotels, Gasthöfe und Pensionen",96.8
1995,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,100.0
1995,2,WZ08-553,Campingplätze,51.5
1995,2,WZ08-559,Sonstige Beherbergungsstätten,118.7
1995,2,WZ08-56,Gastronomie,149.1
1995,2,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",152.8
1995,2,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,89.9
1995,2,WZ08-563,Ausschank von Getränken,233.0
1995,2,WZ08-561-01,Gaststättengewerbe,164.0
1995,2,WZ08-55-01,Gastgewerbe,127.7
1995,3,WZ08-55,Beherbergung,112.4
1995,3,WZ08-551,"Hotels, Gasthöfe und Pensionen",112.5
1995,3,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,118.6
1995,3,WZ08-553,Campingplätze,58.5
1995,3,WZ08-559,Sonstige Beherbergungsstätten,127.5
1995,3,WZ08-56,Gastronomie,161.9
1995,3,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",167.6
1995,3,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,103.0
1995,3,WZ08-563,Ausschank von Getränken,232.3
1995,3,WZ08-561-01,Gaststättengewerbe,176.7
1995,3,WZ08-55-01,Gastgewerbe,141.8
1995,4,WZ08-55,Beherbergung,114.4
1995,4,WZ08-551,"Hotels, Gasthöfe und Pensionen",112.7
1995,4,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,140.3
1995,4,WZ08-553,Campingplätze,104.2
1995,4,WZ08-559,Sonstige Beherbergungsstätten,152.1
1995,4,WZ08-56,Gastronomie,167.7
1995,4,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",176.2
1995,4,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.1
1995,4,WZ08-563,Ausschank von Getränken,242.7
1995,4,WZ08-561-01,Gaststättengewerbe,185.4
1995,4,WZ08-55-01,Gastgewerbe,146.0
1995,5,WZ08-55,Beherbergung,140.9
1995,5,WZ08-551,"Hotels, Gasthöfe und Pensionen",140.4
1995,5,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,158.1
1995,5,WZ08-553,Campingplätze,86.8
1995,5,WZ08-559,Sonstige Beherbergungsstätten,175.7
1995,5,WZ08-56,Gastronomie,181.1
1995,5,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",191.6
1995,5,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,104.9
1995,5,WZ08-563,Ausschank von Getränken,253.0
1995,5,WZ08-561-01,Gaststättengewerbe,200.1
1995,5,WZ08-55-01,Gastgewerbe,164.9
1995,6,WZ08-55,Beherbergung,130.3
1995,6,WZ08-551,"Hotels, Gasthöfe und Pensionen",128.0
1995,6,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,177.3
1995,6,WZ08-553,Campingplätze,80.8
1995,6,WZ08-559,Sonstige Beherbergungsstätten,197.8
1995,6,WZ08-56,Gastronomie,176.7
1995,6,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",185.8
1995,6,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,104.3
1995,6,WZ08-563,Ausschank von Getränken,251.1
1995,6,WZ08-561-01,Gaststättengewerbe,194.8
1995,6,WZ08-55-01,Gastgewerbe,157.8
1995,7,WZ08-55,Beherbergung,122.8
1995,7,WZ08-551,"Hotels, Gasthöfe und Pensionen",118.2
1995,7,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,196.0
1995,7,WZ08-553,Campingplätze,117.5
1995,7,WZ08-559,Sonstige Beherbergungsstätten,241.9
1995,7,WZ08-56,Gastronomie,177.9
1995,7,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",191.1
1995,7,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,98.1
1995,7,WZ08-563,Ausschank von Getränken,240.4
1995,7,WZ08-561-01,Gaststättengewerbe,197.8
1995,7,WZ08-55-01,Gastgewerbe,155.6
1995,8,WZ08-55,Beherbergung,125.5
1995,8,WZ08-551,"Hotels, Gasthöfe und Pensionen",121.9
1995,8,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,182.3
1995,8,WZ08-553,Campingplätze,101.7
1995,8,WZ08-559,Sonstige Beherbergungsstätten,221.0
1995,8,WZ08-56,Gastronomie,176.1
1995,8,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",187.9
1995,8,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.4
1995,8,WZ08-563,Ausschank von Getränken,241.6
1995,8,WZ08-561-01,Gaststättengewerbe,195.3
1995,8,WZ08-55-01,Gastgewerbe,155.6
1995,9,WZ08-55,Beherbergung,143.2
1995,9,WZ08-551,"Hotels, Gasthöfe und Pensionen",142.6
1995,9,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,166.6
1995,9,WZ08-553,Campingplätze,57.5
1995,9,WZ08-559,Sonstige Beherbergungsstätten,194.2
1995,9,WZ08-56,Gastronomie,174.8
1995,9,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",182.4
1995,9,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,103.0
1995,9,WZ08-563,Ausschank von Getränken,256.5
1995,9,WZ08-561-01,Gaststättengewerbe,192.6
1995,9,WZ08-55-01,Gastgewerbe,161.9
1995,10,WZ08-55,Beherbergung,139.0
1995,10,WZ08-551,"Hotels, Gasthöfe und Pensionen",139.3
1995,10,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,150.6
1995,10,WZ08-553,Campingplätze,50.1
1995,10,WZ08-559,Sonstige Beherbergungsstätten,165.7
1995,10,WZ08-56,Gastronomie,174.0
1995,10,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",183.1
1995,10,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,101.6
1995,10,WZ08-563,Ausschank von Getränken,248.2
1995,10,WZ08-561-01,Gaststättengewerbe,192.0
1995,10,WZ08-55-01,Gastgewerbe,159.9
1995,11,WZ08-55,Beherbergung,105.1
1995,11,WZ08-551,"Hotels, Gasthöfe und Pensionen",106.7
1995,11,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,91.5
1995,11,WZ08-553,Campingplätze,35.6
1995,11,WZ08-559,Sonstige Beherbergungsstätten,75.3
1995,11,WZ08-56,Gastronomie,159.8
1995,11,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",164.0
1995,11,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,104.9
1995,11,WZ08-563,Ausschank von Getränken,233.0
1995,11,WZ08-561-01,Gaststättengewerbe,173.4
1995,11,WZ08-55-01,Gastgewerbe,137.5
1995,12,WZ08-55,Beherbergung,108.2
1995,12,WZ08-551,"Hotels, Gasthöfe und Pensionen",109.9
1995,12,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,94.7
1995,12,WZ08-553,Campingplätze,38.4
1995,12,WZ08-559,Sonstige Beherbergungsstätten,99.2
1995,12,WZ08-56,Gastronomie,173.9
1995,12,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",182.8
1995,12,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.6
1995,12,WZ08-563,Ausschank von Getränken,257.2
1995,12,WZ08-561-01,Gaststättengewerbe,193.1
1995,12,WZ08-55-01,Gastgewerbe,147.2
1996,1,WZ08-55,Beherbergung,88.6
1996,1,WZ08-551,"Hotels, Gasthöfe und Pensionen",88.6
1996,1,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,85.5
1996,1,WZ08-553,Campingplätze,76.7
1996,1,WZ08-559,Sonstige Beherbergungsstätten,94.4
1996,1,WZ08-56,Gastronomie,143.1
1996,1,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",146.2
1996,1,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,90.5
1996,1,WZ08-563,Ausschank von Getränken,219.1
1996,1,WZ08-561-01,Gaststättengewerbe,156.4
1996,1,WZ08-55-01,Gastgewerbe,121.0
1996,2,WZ08-55,Beherbergung,94.6
1996,2,WZ08-551,"Hotels, Gasthöfe und Pensionen",94.8
1996,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,95.1
1996,2,WZ08-553,Campingplätze,62.2
1996,2,WZ08-559,Sonstige Beherbergungsstätten,109.7
1996,2,WZ08-56,Gastronomie,144.1
1996,2,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",146.5
1996,2,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,90.1
1996,2,WZ08-563,Ausschank von Getränken,226.2
1996,2,WZ08-561-01,Gaststättengewerbe,157.6
1996,2,WZ08-55-01,Gastgewerbe,124.0
1996,3,WZ08-55,Beherbergung,109.5
1996,3,WZ08-551,"Hotels, Gasthöfe und Pensionen",109.3
1996,3,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,120.0
1996,3,WZ08-553,Campingplätze,66.2
1996,3,WZ08-559,Sonstige Beherbergungsstätten,125.9
1996,3,WZ08-56,Gastronomie,161.7
